Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NW_019217784.1	302265	319799		minus	GATOR complex protein WDR59-like	LOC111343985	111343985	protein-coding	XM_022951221.1	Spis_XP_022806956_1	946	
NW_019217784.1	319918	329440		plus	LIM domain-containing protein jub-like isoform X1	LOC111346822	111346822	protein-coding	XM_022954118.1	Spis_XP_022809853_1	238	
NW_019217784.1	331383	333087		minus	chromosome transmission fidelity protein 8 homolog	LOC111343739	111343739	protein-coding	XM_022950959.1	Spis_XP_022806694_1	117	
NW_019217784.1	335466	359248		plus	LOW QUALITY PROTEIN: protocadherin-like protein	LOC111332645	111332645	protein-coding	XM_022938074.1	Spis_XP_022793809_1	3842	
NW_019217784.1	359360	364192		plus	protocadherin Fat 4-like	LOC111327642	111327642	protein-coding	XM_022931905.1	Spis_XP_022787640_1	641	
NW_019217784.1	364941	374904		plus	GPI transamidase component PIG-T-like	LOC111327736	111327736	protein-coding	XM_022932021.1	Spis_XP_022787756_1	588	
NW_019217784.1	375347	376386		plus	uncharacterized gene	LOC111332810	111332810	pseudogene				
NW_019217784.1	376663	399567		minus	E3 ubiquitin-protein ligase MARCH6-like isoform X1	LOC111327487	111327487	protein-coding	XM_022931723.1	Spis_XP_022787458_1	906	
NW_019217784.1	399623	406832		plus	ataxin-3-like	LOC111325339	111325339	protein-coding	XM_022929182.1	Spis_XP_022784917_1	293	
NW_019217784.1	407766	434492		minus	protocadherin-like protein	LOC111325259	111325259	protein-coding	XM_022929073.1	Spis_XP_022784808_1	4500	
NW_019217784.1	439368	453099		minus	ribosome-recycling factor, mitochondrial-like	LOC111339837	111339837	protein-coding	XM_022946919.1	Spis_XP_022802654_1	236	
NW_019217784.1	453190	456503		plus	transmembrane protein 189-like	LOC111333068	111333068	protein-coding	XM_022938621.1	Spis_XP_022794356_1	276	
NW_019217784.1	464585	483242		plus	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial-like	LOC111332979	111332979	protein-coding	XM_022938513.1	Spis_XP_022794248_1	841	
NW_019217784.1	470592	472509		plus	uncharacterized LOC111320596	LOC111320596	111320596	lncRNA	XR_002693880.1			
NW_019217784.1	492078	497528		minus	uncharacterized protein LOC111320584	LOC111320584	111320584	protein-coding	XM_022923247.1	Spis_XP_022778982_1	375	
NW_019217784.1	501294	507373		minus	uncharacterized protein LOC111346018	LOC111346018	111346018	protein-coding	XM_022953335.1	Spis_XP_022809070_1	1215	
NW_019217784.1	510018	518198		minus	uncharacterized protein LOC111346562	LOC111346562	111346562	protein-coding	XM_022953873.1	Spis_XP_022809608_1	767	
NW_019217784.1	522304	525339		plus	uncharacterized protein LOC111332136	LOC111332136	111332136	protein-coding	XM_022937459.1	Spis_XP_022793194_1	368	
NW_019217784.1	526590	539410		plus	ATP-dependent DNA helicase Q4-like	LOC111332561	111332561	protein-coding	XM_022937953.1	Spis_XP_022793688_1	1399	
NW_019217784.1	541966	543328		minus	collagen triple helix repeat-containing protein 1-like	LOC111332473	111332473	protein-coding	XM_022937852.1	Spis_XP_022793587_1	208	
NW_019217784.1	543357	544165		plus	ATP-dependent DNA helicase Q4-like	LOC111333253	111333253	protein-coding	XM_022938823.1	Spis_XP_022794558_1	192	
NW_019217784.1	548155	548622		minus	uncharacterized protein LOC111333350	LOC111333350	111333350	protein-coding	XM_022938932.1	Spis_XP_022794667_1	155	
NW_019217784.1	549635	553107		minus	histamine H2 receptor-like	LOC111338515	111338515	protein-coding	XM_022945051.1	Spis_XP_022800786_1	364	
NW_019217784.1	560025	569063		plus	saccharopine dehydrogenase [NAD(+), L-lysine-forming]-like	LOC111333439	111333439	protein-coding	XM_022939038.1	Spis_XP_022794773_1	231	
NW_019217784.1	569199	572035		plus	saccharopine dehydrogenase [NAD(+), L-lysine-forming]-like	LOC111333523	111333523	protein-coding	XM_022939147.1	Spis_XP_022794882_1	185	
NW_019217784.1	572142	581877		plus	saccharopine dehydrogenase [NAD(+), L-lysine-forming]-like isoform X3	LOC111335282	111335282	protein-coding	XM_022923366.1	Spis_XP_022779101_1	314	
NW_019217784.1	590061	590975		plus	uncharacterized protein LOC111333608	LOC111333608	111333608	protein-coding	XM_022939262.1	Spis_XP_022794997_1	304	
NW_019217784.1	596535	597230		plus	uncharacterized protein LOC111333865	LOC111333865	111333865	protein-coding	XM_022939532.1	Spis_XP_022795267_1	231	
NW_019217784.1	605543	612855		minus	uncharacterized protein LOC111340463	LOC111340463	111340463	protein-coding	XM_022947348.1	Spis_XP_022803083_1	149	
NW_019217784.1	614950	615948		minus	uncharacterized LOC111346108	LOC111346108	111346108	lncRNA	XR_002696358.1			
NW_019217784.1	620671	626364		plus	uncharacterized protein LOC111319027	LOC111319027	111319027	protein-coding	XM_022921892.1	Spis_XP_022777627_1	403	
NW_019217784.1	629612	642010		minus	protein brambleberry-like	LOC111333949	111333949	protein-coding	XM_022939646.1	Spis_XP_022795381_1	625	
NW_019217784.1	645257	652383		minus	uncharacterized protein LOC111334226	LOC111334226	111334226	protein-coding	XM_022939950.1	Spis_XP_022795685_1	403	
NW_019217784.1	653481	656804		minus	RING finger protein 113A-like	LOC111334316	111334316	protein-coding	XM_022940053.1	Spis_XP_022795788_1	323	
NW_019217784.1	657761	671123		minus	F-box/WD repeat-containing protein 7-like	LOC111332730	111332730	protein-coding	XM_022938182.1	Spis_XP_022793917_1	1058	
NW_019217784.1	671305	675753		plus	ras-related protein Rap-1b	LOC111340737	111340737	protein-coding	XM_022947659.1	Spis_XP_022803394_1	184	
NW_019217784.1	682106	685460		plus	G protein-coupled receptor 161-like	LOC111342389	111342389	protein-coding	XM_022949497.1	Spis_XP_022805232_1	343	
NW_019217784.1	687718	706431		minus	helicase ARIP4-like	LOC111340736	111340736	protein-coding	XM_022947981.1	Spis_XP_022803716_1	1379	
NW_019217784.1	707282	712881		minus	sphingolipid C9-methyltransferase-like	LOC111341672	111341672	protein-coding	XM_022949017.1	Spis_XP_022804752_1	460	
NW_019217784.1	717275	737251		minus	intraflagellar transport protein 122 homolog	LOC111334037	111334037	protein-coding	XM_022939758.1	Spis_XP_022795493_1	1050	
NW_019217784.1	737846	745781		minus	intraflagellar transport protein 122 homolog isoform X1	LOC111321631	111321631	protein-coding	XM_022924605.1	Spis_XP_022780340_1	140	
NW_019217784.1	746659	747983		plus	uncharacterized protein LOC111321779	LOC111321779	111321779	protein-coding	XM_022924774.1	Spis_XP_022780509_1	277	
NW_019217784.1	784835	787018		minus	uncharacterized protein LOC111320332 isoform X1	LOC111320332	111320332	protein-coding	XM_022923042.1	Spis_XP_022778777_1	143	
NW_019217784.1	799601	800869		plus	neuropeptide FF receptor 1-like	LOC111334408	111334408	protein-coding	XM_022940166.1	Spis_XP_022795901_1	373	
NW_019217784.1	800851	806490		minus	uncharacterized protein LOC111319657	LOC111319657	111319657	protein-coding	XM_022922434.1	Spis_XP_022778169_1	791	
NW_019217784.1	806626	811717		plus	uncharacterized protein LOC111320021 isoform X1	LOC111320021	111320021	protein-coding	XM_022922754.1	Spis_XP_022778489_1	373	
NW_019217784.1	811539	821606		minus	serine/threonine-protein kinase rio2-like isoform X1	LOC111319763	111319763	protein-coding	XM_022922533.1	Spis_XP_022778268_1	486	
NW_019217784.1	826143	827771		minus	forkhead box protein D2-like	LOC111340644	111340644	protein-coding	XM_022947554.1	Spis_XP_022803289_1	362	
NW_019217784.1	835266	844444		plus	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial-like	LOC111329439	111329439	protein-coding	XM_022934184.1	Spis_XP_022789919_1	373	
NW_019217784.1	844662	848307		plus	adenylate kinase isoenzyme 6-like	LOC111329530	111329530	protein-coding	XM_022934293.1	Spis_XP_022790028_1	172	
NW_019217784.1	850346	855595		plus	39S ribosomal protein L37, mitochondrial-like	LOC111343639	111343639	protein-coding	XM_022950854.1	Spis_XP_022806589_1	379	
NW_019217784.1	861936	864119		minus	trace amine-associated receptor 13c-like	LOC111341164	111341164	protein-coding	XM_022948147.1	Spis_XP_022803882_1	287	
NW_019217784.1	865827	867232		minus	beta-4C adrenergic receptor-like	LOC111341065	111341065	protein-coding	XM_022948051.1	Spis_XP_022803786_1	304	
NW_019217784.1	870251	888150		minus	leucine-rich repeat serine/threonine-protein kinase 1-like	LOC111325441	111325441	protein-coding	XM_022929286.1	Spis_XP_022785021_1	1925	
NW_019217784.1	891841	908333		plus	structural maintenance of chromosomes protein 5-like isoform X1	LOC111327812	111327812	protein-coding	XM_022932132.1	Spis_XP_022787867_1	1076	
NW_019217784.1	908556	910654		minus	uncharacterized protein LOC111328017	LOC111328017	111328017	protein-coding	XM_022932395.1	Spis_XP_022788130_1	407	
NW_019217784.1	917063	919975		minus	nuclear receptor subfamily 2 group F member 1-A-like	LOC111345219	111345219	protein-coding	XM_022952531.1	Spis_XP_022808266_1	356	
NW_019217784.1	925813	929749		minus	uncharacterized calcium-binding protein At1g02270-like	LOC111343383	111343383	protein-coding	XM_022950585.1	Spis_XP_022806320_1	318	
NW_019217784.1	933083	947347		plus	antigen WC1.1-like isoform X1	LOC111329300	111329300	protein-coding	XM_022933994.1	Spis_XP_022789729_1	1946	
NW_019217784.1	947541	957439		plus	CST complex subunit CTC1-like	LOC111342007	111342007	protein-coding	XM_022949081.1	Spis_XP_022804816_1	1359	
NW_019217784.1	957515	977784		minus	nephrocystin-1-like	LOC111342105	111342105	protein-coding	XM_022949184.1	Spis_XP_022804919_1	690	
NW_019217784.1	977890	997354		minus	deleted in malignant brain tumors 1 protein-like isoform X1	LOC111341851	111341851	protein-coding	XM_022948916.1	Spis_XP_022804651_1	1966	
NW_019217784.1	999508	1001307		plus	transmembrane protein 163-like	LOC111342889	111342889	protein-coding	XM_022950051.1	Spis_XP_022805786_1	261	
NW_019217784.1	1002355	1006137		minus	transmembrane protein 163-like	LOC111339229	111339229	protein-coding	XM_022945869.1	Spis_XP_022801604_1	261	
NW_019217784.1	1005839	1011993		minus	probable UDP-sugar transporter protein SLC35A4	LOC111339073	111339073	protein-coding	XM_022945687.1	Spis_XP_022801422_1	341	
NW_019217784.1	1012079	1018090		plus	dolichol kinase-like isoform X1	LOC111323501	111323501	protein-coding	XM_022926910.1	Spis_XP_022782645_1	543	
NW_019217784.1	1018675	1031957		plus	SH2 domain-containing adapter protein F-like isoform X1	LOC111323649	111323649	protein-coding	XM_022927089.1	Spis_XP_022782824_1	509	
NW_019217784.1	1034319	1045004		plus	arachidonate 5-lipoxygenase-like	LOC111326629	111326629	protein-coding	XM_022931031.1	Spis_XP_022786766_1	719	
NW_019217784.1	1053233	1061943		plus	dimethylglycine dehydrogenase, mitochondrial-like	LOC111324311	111324311	protein-coding	XM_022927883.1	Spis_XP_022783618_1	875	
NW_019217784.1	1062333	1071572		minus	betaine--homocysteine S-methyltransferase 1-like	LOC111324403	111324403	protein-coding	XM_022927988.1	Spis_XP_022783723_1	408	
NW_019217784.1	1076194	1079633		minus	RNA-binding protein 8A-like	LOC111346265	111346265	protein-coding	XM_022953590.1	Spis_XP_022809325_1	168	
NW_019217784.1	1077632	1077704		plus	tRNA-Thr	Trnat-agu	111320679	tRNA				
NW_019217784.1	1079894	1081962		minus	lariat debranching enzyme-like	LOC111341321	111341321	protein-coding	XM_022948316.1	Spis_XP_022804051_1	522	
NW_019217784.1	1081955	1088803		plus	mitochondrial import inner membrane translocase subunit TIM44-like	LOC111341418	111341418	protein-coding	XM_022948419.1	Spis_XP_022804154_1	464	
NW_019217784.1	1089193	1091277		plus	uncharacterized protein LOC111333167	LOC111333167	111333167	protein-coding	XM_022938728.1	Spis_XP_022794463_1	144	
NW_019217784.1	1091732	1098079		plus	uncharacterized protein LOC111323893	LOC111323893	111323893	protein-coding	XM_022927374.1	Spis_XP_022783109_1	459	
NW_019217784.1	1097838	1101319		minus	DNA-directed RNA polymerase III subunit RPC7-like	LOC111324135	111324135	protein-coding	XM_022927669.1	Spis_XP_022783404_1	215	
NW_019217784.1	1101350	1104219		plus	pyroglutamyl-peptidase 1-like	LOC111324227	111324227	protein-coding	XM_022927764.1	Spis_XP_022783499_1	199	
NW_019217784.1	1104571	1108706		plus	survival motor neuron protein-like isoform X1	LOC111323988	111323988	protein-coding	XM_022927492.1	Spis_XP_022783227_1	388	
NW_019217784.1	1108796	1110959		minus	trichohyalin-like	LOC111323799	111323799	protein-coding	XM_022927267.1	Spis_XP_022783002_1	479	
NW_019217784.1	1111642	1113519		minus	activated RNA polymerase II transcriptional coactivator p15-like	LOC111337241	111337241	protein-coding	XM_022943549.1	Spis_XP_022799284_1	122	
NW_019217784.1	1115085	1123393		minus	PWWP domain-containing protein MUM1L1-like	LOC111337155	111337155	protein-coding	XM_022943433.1	Spis_XP_022799168_1	594	
NW_019217784.1	1123495	1131817		plus	ubiquitin-like protein 7	LOC111320899	111320899	protein-coding	XM_022923667.1	Spis_XP_022779402_1	365	
NW_019217784.1	1131296	1135843		minus	putative glucose-6-phosphate 1-epimerase isoform X1	LOC111320983	111320983	protein-coding	XM_022923772.1	Spis_XP_022779507_1	277	
NW_019217784.1	1136064	1136960		minus	ras-related protein ORAB-1-like	LOC111321124	111321124	protein-coding	XM_022923946.1	Spis_XP_022779681_1	209	
NW_019217784.1	1137238	1143551		plus	flocculation protein FLO11-like	LOC111319875	111319875	protein-coding	XM_022922915.1	Spis_XP_022778650_1	919	
NW_019217784.1	1137621	1138821		minus	ras-related protein ORAB-1-like	LOC111321201	111321201	protein-coding	XM_022924057.1	Spis_XP_022779792_1	207	
NW_019217784.1	1143625	1151819		minus	uncharacterized LOC111321290, transcript variant X3	LOC111321290	111321290	lncRNA	XR_002693959.1			
NW_019217784.1	1145725	1158595		plus	COUP transcription factor 2-like isoform X1	LOC111320692	111320692	protein-coding	XM_022923404.1	Spis_XP_022779139_1	370	
NW_019217784.1	1162519	1168504		minus	uncharacterized LOC111321941, transcript variant X2	LOC111321941	111321941	lncRNA	XR_002694028.1			
NW_019217784.1	1174310	1177630		plus	oxidoreductase HTATIP2-like	LOC111322033	111322033	protein-coding	XM_022925103.1	Spis_XP_022780838_1	244	
NW_019217784.1	1179370	1187000		minus	protein JTB-like isoform X1	LOC111322123	111322123	protein-coding	XM_022925214.1	Spis_XP_022780949_1	181	
NW_019217784.1	1208806	1219495		minus	octopamine receptor 1-like	LOC111339740	111339740	protein-coding	XM_022946492.1	Spis_XP_022802227_1	327	
NW_019217784.1	1220069	1226398		minus	acid-sensing ion channel 1C-like	LOC111345823	111345823	protein-coding	XM_022953142.1	Spis_XP_022808877_1	516	
NW_019217784.1	1230182	1238714		minus	amiloride-sensitive sodium channel subunit beta-like	LOC111318820	111318820	protein-coding	XM_022926647.1	Spis_XP_022782382_1	515	
NW_019217784.1	1245366	1253995		plus	amiloride-sensitive sodium channel subunit gamma-like isoform X1	LOC111344686	111344686	protein-coding	XM_022951963.1	Spis_XP_022807698_1	552	
NW_019217784.1	1254091	1259862		minus	amiloride-sensitive sodium channel subunit alpha-like isoform X1	LOC111344901	111344901	protein-coding	XM_022952201.1	Spis_XP_022807936_1	534	
NW_019217784.1	1261255	1267294		plus	degenerin deg-1-like	LOC111322122	111322122	protein-coding	XM_022925528.1	Spis_XP_022781263_1	483	
NW_019217784.1	1269913	1276403		plus	amiloride-sensitive sodium channel subunit beta-like	LOC111325715	111325715	protein-coding	XM_022929943.1	Spis_XP_022785678_1	356	
NW_019217784.1	1277002	1278070		minus	uncharacterized protein LOC111339559	LOC111339559	111339559	protein-coding	XM_022946270.1	Spis_XP_022802005_1	171	
NW_019217784.1	1280772	1286598		plus	acid-sensing ion channel 2-like	LOC111342988	111342988	protein-coding	XM_022950149.1	Spis_XP_022805884_1	558	
NW_019217784.1	1288595	1301264		plus	amiloride-sensitive sodium channel subunit alpha-like	LOC111329881	111329881	protein-coding	XM_022934678.1	Spis_XP_022790413_1	566	
NW_019217784.1	1301387	1306523		minus	uncharacterized LOC111330132	LOC111330132	111330132	lncRNA	XR_002694779.1			
NW_019217784.1	1306678	1308508		minus	beta-1,3-galactosyltransferase 5-like	LOC111330037	111330037	protein-coding	XM_022934861.1	Spis_XP_022790596_1	366	
NW_019217784.1	1309428	1311608		minus	E3 ubiquitin-protein ligase MARCH3-like	LOC111346166	111346166	protein-coding	XM_022953504.1	Spis_XP_022809239_1	195	
NW_019217784.1	1311774	1320014		minus	fanconi-associated nuclease 1-like	LOC111334492	111334492	protein-coding	XM_022940283.1	Spis_XP_022796018_1	1119	
NW_019217784.1	1320112	1322408		plus	uncharacterized protein LOC111335611	LOC111335611	111335611	protein-coding	XM_022941610.1	Spis_XP_022797345_1	351	
NW_019217784.1	1323852	1325508		minus	dopamine D2-like receptor	LOC111346460	111346460	protein-coding	XM_022953780.1	Spis_XP_022809515_1	346	
NW_019217784.1	1344675	1352318		minus	uncharacterized LOC111335556	LOC111335556	111335556	lncRNA	XR_002695364.1			
NW_019217784.1	1371969	1373015		minus	adenosine receptor A3-like	LOC111334573	111334573	protein-coding	XM_022940394.1	Spis_XP_022796129_1	348	
NW_019217784.1	1374252	1381784		minus	WD repeat-containing protein 93-like isoform X1	LOC111345476	111345476	protein-coding	XM_022952793.1	Spis_XP_022808528_1	704	
NW_019217784.1	1381851	1385482		plus	peroxisomal membrane protein 11A-like	LOC111345641	111345641	protein-coding	XM_022952957.1	Spis_XP_022808692_1	232	
NW_019217784.1	1385386	1416756		minus	LOW QUALITY PROTEIN: dmX-like protein 2	LOC111345733	111345733	protein-coding	XM_022953044.1	Spis_XP_022808779_1	3090	
NW_019217784.1	1416843	1422072		plus	DTW domain-containing protein 2-like	LOC111320503	111320503	protein-coding	XM_022923189.1	Spis_XP_022778924_1	257	
NW_019217784.1	1423111	1426584		minus	uncharacterized protein LOC111329624	LOC111329624	111329624	protein-coding	XM_022934405.1	Spis_XP_022790140_1	419	
NW_019217784.1	1427261	1435317		minus	uncharacterized protein LOC111334661	LOC111334661	111334661	protein-coding	XM_022940506.1	Spis_XP_022796241_1	697	
NW_019217784.1	1435444	1440893		plus	synaptotagmin-7-like	LOC111320631	111320631	protein-coding	XM_022923281.1	Spis_XP_022779016_1	432	
NW_019217784.1	1441736	1444153		minus	nuclear receptor subfamily 2 group F member 1-B-like	LOC111334758	111334758	protein-coding	XM_022940603.1	Spis_XP_022796338_1	431	
NW_019217784.1	1447916	1454939		plus	wiskott-Aldrich syndrome protein homolog 1-like isoform X1	LOC111345318	111345318	protein-coding	XM_022952634.1	Spis_XP_022808369_1	601	
NW_019217784.1	1456070	1485560		minus	myocyte-specific enhancer factor 2A-like isoform X2	LOC111344490	111344490	protein-coding	XM_022921988.1	Spis_XP_022777723_1	474	
NW_019217784.1	1486799	1497442		minus	uncharacterized protein LOC111347377	LOC111347377	111347377	protein-coding	XM_022954660.1	Spis_XP_022810395_1	856	
NW_019217784.1	1497554	1502432		plus	osteoclast-stimulating factor 1-like	LOC111343541	111343541	protein-coding	XM_022950758.1	Spis_XP_022806493_1	211	
NW_019217784.1	1503423	1512571		plus	helicase-like transcription factor	LOC111333471	111333471	protein-coding	XM_022939392.1	Spis_XP_022795127_1	1058	
NW_019217784.1	1512938	1517069		plus	calumenin-A-like isoform X1	LOC111335283	111335283	protein-coding	XM_022941528.1	Spis_XP_022797263_1	270	
NW_019217784.1	1516956	1523588		plus	calumenin-A-like	LOC111337997	111337997	protein-coding	XM_022944761.1	Spis_XP_022800496_1	276	
NW_019217784.1	1524259	1531071		plus	calumenin-B-like	LOC111334377	111334377	protein-coding	XM_022940470.1	Spis_XP_022796205_1	312	
NW_019217784.1	1533596	1534535		plus	dopamine D2-like receptor	LOC111334853	111334853	protein-coding	XM_022940705.1	Spis_XP_022796440_1	297	
NW_019217784.1	1541760	1543440		minus	C-C chemokine receptor type 1-like	LOC111331694	111331694	protein-coding	XM_022937232.1	Spis_XP_022792967_1	412	
NW_019217784.1	1544708	1549065		minus	leucine-rich repeat-containing protein 28-like	LOC111332591	111332591	protein-coding	XM_022938335.1	Spis_XP_022794070_1	372	
NW_019217784.1	1549165	1572405		plus	elongator complex protein 1-like	LOC111327549	111327549	protein-coding	XM_022932131.1	Spis_XP_022787866_1	1333	
NW_019217784.1	1572027	1578021		minus	uncharacterized protein LOC111328426 isoform X1	LOC111328426	111328426	protein-coding	XM_022933225.1	Spis_XP_022788960_1	1005	
NW_019217784.1	1578099	1581448		plus	uncharacterized protein LOC111340823	LOC111340823	111340823	protein-coding	XM_022947772.1	Spis_XP_022803507_1	194	
NW_019217784.1	1581598	1585147		minus	uncharacterized protein LOC111340922	LOC111340922	111340922	protein-coding	XM_022947872.1	Spis_XP_022803607_1	349	
NW_019217784.1	1586598	1590346		minus	uncharacterized protein LOC111338980	LOC111338980	111338980	protein-coding	XM_022945585.1	Spis_XP_022801320_1	362	
NW_019217784.1	1593786	1597565		plus	FK506-binding protein 4-like	LOC111338889	111338889	protein-coding	XM_022945477.1	Spis_XP_022801212_1	476	
NW_019217784.1	1599148	1600148		plus	ras-related protein Rab-10-like	LOC111337335	111337335	protein-coding	XM_022943648.1	Spis_XP_022799383_1	215	
NW_019217784.1	1602213	1604805		plus	phosphopantothenoylcysteine decarboxylase-like isoform X1	LOC111326784	111326784	protein-coding	XM_022930891.1	Spis_XP_022786626_1	199	
NW_019217784.1	1604789	1607870		minus	DNA repair protein complementing XP-A cells-like	LOC111326445	111326445	protein-coding	XM_022930479.1	Spis_XP_022786214_1	267	
