Hvul_v3_ATP6	MT_ATP6
Hvul_v3_NM_001309687.1	VANGL1
Hvul_v3_NM_001309689.1	KRAS
Hvul_v3_NM_001309691.1	PIWIL2
Hvul_v3_NM_001309693.1	XIAP
Hvul_v3_NM_001309695.1	HSPA8
Hvul_v3_NM_001309697.1	OPN1MW
Hvul_v3_NM_001309699.1	RPS6KA1
Hvul_v3_NM_001309701.1	RAB10
Hvul_v3_NM_001309703.1	
Hvul_v3_NM_001309707.1	CASP8
Hvul_v3_NM_001309709.1	NOTCH2
Hvul_v3_NM_001309717.1	EPHA7
Hvul_v3_NM_001309721.1	GSK3B
Hvul_v3_NM_001309725.1	FZD2
Hvul_v3_NM_001309726.1	TNFRSF10B
Hvul_v3_NM_001309728.1	EPHA5
Hvul_v3_NM_001309729.1	ARX
Hvul_v3_NM_001309730.1	SYCP3
Hvul_v3_NM_001309731.1	
Hvul_v3_NM_001309733.1	TCF7
Hvul_v3_NM_001309734.1	EEF1A2
Hvul_v3_NM_001309735.1	WNT8A
Hvul_v3_NM_001309736.1	SOD2
Hvul_v3_NM_001309737.1	
Hvul_v3_NM_001309738.1	ASIC1
Hvul_v3_NM_001309739.1	ASIC1
Hvul_v3_NM_001309740.1	MAEL
Hvul_v3_NM_001309741.1	
Hvul_v3_NM_001309742.1	SMAD5
Hvul_v3_NM_001309744.1	ASCL1
Hvul_v3_NM_001309745.1	TPT1
Hvul_v3_NM_001309746.1	PKN2
Hvul_v3_NM_001309747.1	MMP14
Hvul_v3_NM_001309748.1	
Hvul_v3_NM_001309749.1	ECE1
Hvul_v3_NM_001309750.1	TJP1
Hvul_v3_NM_001309752.1	ZAP70
Hvul_v3_NM_001309753.1	PTK7
Hvul_v3_NM_001309755.1	CTSL
Hvul_v3_NM_001309757.1	OPN1MW
Hvul_v3_NM_001309758.1	HOXB1
Hvul_v3_NM_001309759.2	WNT5A
Hvul_v3_NM_001309760.1	ERCC3
Hvul_v3_NM_001309763.1	
Hvul_v3_NM_001309764.1	FOXA2
Hvul_v3_NM_001309765.1	FGFR2
Hvul_v3_NM_001309766.1	TLL1
Hvul_v3_NM_001309768.1	OTX2
Hvul_v3_NM_001309770.1	ANXA7
Hvul_v3_NM_001309771.1	INSR
Hvul_v3_NM_001309772.1	GPX4
Hvul_v3_NM_001309773.1	NKX2_5
Hvul_v3_NM_001309775.1	SRF
Hvul_v3_NM_001309779.1	BAK1
Hvul_v3_NM_001309780.1	CASP3
Hvul_v3_NM_001309781.1	
Hvul_v3_NM_001309782.1	SYK
Hvul_v3_NM_001309783.1	
Hvul_v3_NM_001309784.1	GSC
Hvul_v3_NM_001309786.1	OPN1LW
Hvul_v3_NM_001309787.1	ATP1A3
Hvul_v3_NM_001312658.1	CLDND2
Hvul_v3_NM_001319713.1	
Hvul_v3_NM_001365526.1	MAPK10
Hvul_v3_XM_002153746.3	ZIC4
Hvul_v3_XM_002153752.3	H2AJ
Hvul_v3_XM_002153753.3	TRAPPC6B
Hvul_v3_XM_002153760.4	UBE2V2
Hvul_v3_XM_002153762.3	PPP1R7
Hvul_v3_XM_002153763.4	PGPEP1
Hvul_v3_XM_002153768.4	RBM3
Hvul_v3_XM_002153769.4	FAH
Hvul_v3_XM_002153772.3	MTNR1A
Hvul_v3_XM_002153773.4	MRPL47
Hvul_v3_XM_002153785.4	AKAP17A
Hvul_v3_XM_002153794.4	THBS1
Hvul_v3_XM_002153801.4	ZSWIM4
Hvul_v3_XM_002153809.4	PPIB
Hvul_v3_XM_002153810.4	ZFR
Hvul_v3_XM_002153812.4	DLX6
Hvul_v3_XM_002153819.4	TLL1
Hvul_v3_XM_002153821.4	
Hvul_v3_XM_002153831.4	MEP1B
Hvul_v3_XM_002153837.3	NCOA5
Hvul_v3_XM_002153845.4	COX6A1
Hvul_v3_XM_002153857.4	OSBPL11
Hvul_v3_XM_002153864.4	SLC32A1
Hvul_v3_XM_002153869.4	
Hvul_v3_XM_002153883.4	MXD1
Hvul_v3_XM_002153885.4	ATPAF1
Hvul_v3_XM_002153888.4	TMEM237
Hvul_v3_XM_002153890.4	GAL3ST1
Hvul_v3_XM_002153898.3	SLC7A9
Hvul_v3_XM_002153905.4	SMARCB1
Hvul_v3_XM_002153907.4	
Hvul_v3_XM_002153909.4	GRWD1
Hvul_v3_XM_002153912.4	WNT2B
Hvul_v3_XM_002153917.4	ABCE1
Hvul_v3_XM_002153919.4	COPS4
Hvul_v3_XM_002153934.4	ATP5PD
Hvul_v3_XM_002153936.4	AGPS
Hvul_v3_XM_002153937.4	ULK3
Hvul_v3_XM_002153940.4	
Hvul_v3_XM_002153951.4	C3orf67
Hvul_v3_XM_002153955.4	FNTA
Hvul_v3_XM_002153962.4	PUS3
Hvul_v3_XM_002153970.4	SRSF4
Hvul_v3_XM_002153971.4	
Hvul_v3_XM_002153992.4	SLFNL1
Hvul_v3_XM_002154012.4	ATP6V0D1
Hvul_v3_XM_002154017.4	
Hvul_v3_XM_002154021.3	NDRG3
Hvul_v3_XM_002154022.4	AC013489.1
Hvul_v3_XM_002154025.4	NUDT19
Hvul_v3_XM_002154054.4	ADAM10
Hvul_v3_XM_002154058.4	DCTD
Hvul_v3_XM_002154065.4	LSM5
Hvul_v3_XM_002154068.2	RIMKLB
Hvul_v3_XM_002154069.4	DNAJC9
Hvul_v3_XM_002154071.4	MUC2
Hvul_v3_XM_002154092.4	IQCG
Hvul_v3_XM_002154099.3	TSG101
Hvul_v3_XM_002154100.3	XKR6
Hvul_v3_XM_002154103.4	KAT8
Hvul_v3_XM_002154116.4	LIPT1
Hvul_v3_XM_002154120.4	CNNM2
Hvul_v3_XM_002154129.4	MYL6
Hvul_v3_XM_002154137.4	MRNIP
Hvul_v3_XM_002154138.4	E2F4
Hvul_v3_XM_002154143.4	SEPTIN9
Hvul_v3_XM_002154156.4	COMMD4
Hvul_v3_XM_002154161.4	UROD
Hvul_v3_XM_002154165.4	KCNA1
Hvul_v3_XM_002154172.4	MRTO4
Hvul_v3_XM_002154175.4	TLCD1
Hvul_v3_XM_002154180.4	
Hvul_v3_XM_002154184.4	MANF
Hvul_v3_XM_002154196.4	NSUN6
Hvul_v3_XM_002154198.4	
Hvul_v3_XM_002154210.4	MYPN
Hvul_v3_XM_002154214.3	
Hvul_v3_XM_002154219.4	TMEM165
Hvul_v3_XM_002154221.3	TMEM14C
Hvul_v3_XM_002154226.4	DIS3L2
Hvul_v3_XM_002154228.4	KLHL20
Hvul_v3_XM_002154233.4	SPTY2D1
Hvul_v3_XM_002154235.3	FAM20B
Hvul_v3_XM_002154239.4	ALAS2
Hvul_v3_XM_002154244.4	FTH1
Hvul_v3_XM_002154253.3	ADRM1
Hvul_v3_XM_002154270.4	SNRPE
Hvul_v3_XM_002154272.4	SLC8A1
Hvul_v3_XM_002154285.4	FKBP14
Hvul_v3_XM_002154287.4	GLYCTK
Hvul_v3_XM_002154292.4	DNAJB11
Hvul_v3_XM_002154297.4	ARSI
Hvul_v3_XM_002154298.4	PPIE
Hvul_v3_XM_002154301.4	EEF1G
Hvul_v3_XM_002154305.4	FBXO5
Hvul_v3_XM_002154313.4	CALM3
Hvul_v3_XM_002154320.4	MGAT5
Hvul_v3_XM_002154326.4	
Hvul_v3_XM_002154334.4	SOX14
Hvul_v3_XM_002154336.4	
Hvul_v3_XM_002154338.4	CD151
Hvul_v3_XM_002154352.4	KCTD10
Hvul_v3_XM_002154354.4	TXNRD3
Hvul_v3_XM_002154355.2	ZMYM1
Hvul_v3_XM_002154359.4	SLC40A1
Hvul_v3_XM_002154360.4	ASF1A
Hvul_v3_XM_002154373.4	DAZAP1
Hvul_v3_XM_002154374.4	HUNK
Hvul_v3_XM_002154381.3	LIN37
Hvul_v3_XM_002154386.3	MACROH2A1
Hvul_v3_XM_002154387.4	RNF181
Hvul_v3_XM_002154389.4	IDH3G
Hvul_v3_XM_002154392.4	CWC15
Hvul_v3_XM_002154402.4	CNTN4
Hvul_v3_XM_002154405.4	NR2E3
Hvul_v3_XM_002154419.4	RPLP0
Hvul_v3_XM_002154422.4	IFT57
Hvul_v3_XM_002154426.4	ACTB
Hvul_v3_XM_002154434.4	H3_3B
Hvul_v3_XM_002154441.4	
Hvul_v3_XM_002154452.4	STAMBPL1
Hvul_v3_XM_002154453.4	SLC36A1
Hvul_v3_XM_002154461.4	PAF1
Hvul_v3_XM_002154466.4	CALML6
Hvul_v3_XM_002154468.3	CCDC77
Hvul_v3_XM_002154471.4	MED22
Hvul_v3_XM_002154479.4	FBXL20
Hvul_v3_XM_002154495.4	
Hvul_v3_XM_002154496.4	ALG10
Hvul_v3_XM_002154498.4	P4HTM
Hvul_v3_XM_002154499.4	CTSZ
Hvul_v3_XM_002154503.4	
Hvul_v3_XM_002154512.4	COPG1
Hvul_v3_XM_002154518.4	UHRF1BP1L
Hvul_v3_XM_002154525.4	NBN
Hvul_v3_XM_002154526.3	
Hvul_v3_XM_002154529.4	PRPF38B
Hvul_v3_XM_002154531.4	ZCCHC10
Hvul_v3_XM_002154533.4	KMT5A
Hvul_v3_XM_002154545.4	
Hvul_v3_XM_002154554.4	ANKRD29
Hvul_v3_XM_002154568.4	RPL7A
Hvul_v3_XM_002154573.4	HTRA1
Hvul_v3_XM_002154574.3	DKC1
Hvul_v3_XM_002154575.4	
Hvul_v3_XM_002154579.4	TDG
Hvul_v3_XM_002154581.3	TRAPPC1
Hvul_v3_XM_002154582.4	ZC3HC1
Hvul_v3_XM_002154590.4	SEC61B
Hvul_v3_XM_002154605.4	CPT1A
Hvul_v3_XM_002154610.4	GNPDA1
Hvul_v3_XM_002154614.4	CISD1
Hvul_v3_XM_002154620.4	SLC22A15
Hvul_v3_XM_002154621.4	RPAIN
Hvul_v3_XM_002154627.4	ACTR10
Hvul_v3_XM_002154631.4	CLCC1
Hvul_v3_XM_002154633.4	RPS19
Hvul_v3_XM_002154636.4	
Hvul_v3_XM_002154641.4	H3Y2
Hvul_v3_XM_002154642.4	EDRF1
Hvul_v3_XM_002154648.4	
Hvul_v3_XM_002154656.4	CTSZ
Hvul_v3_XM_002154660.4	ACTB
Hvul_v3_XM_002154666.3	OGFOD1
Hvul_v3_XM_002154688.4	DOHH
Hvul_v3_XM_002154691.4	RAB20
Hvul_v3_XM_002154698.4	GLIPR2
Hvul_v3_XM_002154700.4	TOMM20
Hvul_v3_XM_002154703.2	PGBD4
Hvul_v3_XM_002154704.4	SSR3
Hvul_v3_XM_002154708.4	AACS
Hvul_v3_XM_002154712.4	TFAM
Hvul_v3_XM_002154715.4	RRAS2
Hvul_v3_XM_002154724.4	CASP6
Hvul_v3_XM_002154726.4	LENG8
Hvul_v3_XM_002154727.4	FOS
Hvul_v3_XM_002154729.4	MFSD13A
Hvul_v3_XM_002154744.4	RP2
Hvul_v3_XM_002154758.4	PPP2R5A
Hvul_v3_XM_002154761.4	CNOT6
Hvul_v3_XM_002154762.4	BCKDHB
Hvul_v3_XM_002154769.3	PRDM12
Hvul_v3_XM_002154778.4	GLTP
Hvul_v3_XM_002154786.4	
Hvul_v3_XM_002154787.4	RPIA
Hvul_v3_XM_002154788.4	FLAD1
Hvul_v3_XM_002154789.4	SURF4
Hvul_v3_XM_002154792.4	HECTD3
Hvul_v3_XM_002154797.4	
Hvul_v3_XM_002154799.4	EIPR1
Hvul_v3_XM_002154802.4	YLPM1
Hvul_v3_XM_002154803.3	
Hvul_v3_XM_002154808.4	PRPF18
Hvul_v3_XM_002154809.3	NDUFAF1
Hvul_v3_XM_002154812.3	PRR5
Hvul_v3_XM_002154814.4	ACVR2A
Hvul_v3_XM_002154823.4	CMTR1
Hvul_v3_XM_002154826.4	DAPP1
Hvul_v3_XM_002154831.4	SPA17
Hvul_v3_XM_002154834.4	BACE2
Hvul_v3_XM_002154835.4	DRAM1
Hvul_v3_XM_002154846.4	HSD17B2
Hvul_v3_XM_002154849.4	
Hvul_v3_XM_002154850.4	RPS4X
Hvul_v3_XM_002154858.4	GID4
Hvul_v3_XM_002154868.1	
Hvul_v3_XM_002154875.4	
Hvul_v3_XM_002154884.4	SLC22A15
Hvul_v3_XM_002154890.4	RERGL
Hvul_v3_XM_002154892.3	
Hvul_v3_XM_002154894.4	TRIM23
Hvul_v3_XM_002154899.4	GLRX2
Hvul_v3_XM_002154918.3	LARGE1
Hvul_v3_XM_002154926.3	HPGD
Hvul_v3_XM_002154932.4	FUS
Hvul_v3_XM_002154935.4	SIK2
Hvul_v3_XM_002154939.4	SLC1A3
Hvul_v3_XM_002154942.4	HSD17B12
Hvul_v3_XM_002154944.4	TRAIP
Hvul_v3_XM_002154950.3	CA7
Hvul_v3_XM_002154953.4	PPRC1
Hvul_v3_XM_002154958.4	
Hvul_v3_XM_002154960.4	
Hvul_v3_XM_002154972.4	HSDL1
Hvul_v3_XM_002154975.4	SCHIP1
Hvul_v3_XM_002154976.4	ZBTB47
Hvul_v3_XM_002154979.4	THBS1
Hvul_v3_XM_002154991.4	TRAP1
Hvul_v3_XM_002154994.3	ECHDC3
Hvul_v3_XM_002154997.3	
Hvul_v3_XM_002155000.4	ELOVL5
Hvul_v3_XM_002155010.4	ARPC3
Hvul_v3_XM_002155013.4	PPP1R2
Hvul_v3_XM_002155017.4	EML1
Hvul_v3_XM_002155033.4	NDUFA13
Hvul_v3_XM_002155034.4	RAD9B
Hvul_v3_XM_002155037.4	MEP1B
Hvul_v3_XM_002155038.4	ECE1
Hvul_v3_XM_002155051.4	SSU72
Hvul_v3_XM_002155062.4	LTV1
Hvul_v3_XM_002155072.4	ASXL1
Hvul_v3_XM_002155073.3	PLAC8
Hvul_v3_XM_002155082.4	MOSPD1
Hvul_v3_XM_002155085.4	
Hvul_v3_XM_002155086.4	FSCN1
Hvul_v3_XM_002155091.3	C2orf76
Hvul_v3_XM_002155099.4	MGAT2
Hvul_v3_XM_002155100.4	
Hvul_v3_XM_002155101.4	GSN
Hvul_v3_XM_002155102.4	PELP1
Hvul_v3_XM_002155114.4	HNRNPA3
Hvul_v3_XM_002155120.4	NOP56
Hvul_v3_XM_002155132.3	SLC22A15
Hvul_v3_XM_002155134.4	RPS15
Hvul_v3_XM_002155137.4	HTRA4
Hvul_v3_XM_002155144.4	STRAP
Hvul_v3_XM_002155145.4	COPS7B
Hvul_v3_XM_002155147.4	ATXN3
Hvul_v3_XM_002155155.3	PSMB6
Hvul_v3_XM_002155164.4	PLCXD3
Hvul_v3_XM_002155167.4	ISOC1
Hvul_v3_XM_002155171.4	DDX28
Hvul_v3_XM_002155173.3	ANXA7
Hvul_v3_XM_002155175.4	ILVBL
Hvul_v3_XM_002155185.4	CSGALNACT1
Hvul_v3_XM_002155186.4	ACMSD
Hvul_v3_XM_002155198.4	MRPS18C
Hvul_v3_XM_002155201.4	DNAJB13
Hvul_v3_XM_002155202.4	MED21
Hvul_v3_XM_002155208.4	
Hvul_v3_XM_002155210.4	NOP9
Hvul_v3_XM_002155221.4	PIN1
Hvul_v3_XM_002155224.4	STT3A
Hvul_v3_XM_002155229.4	KDM1B
Hvul_v3_XM_002155234.4	RNF41
Hvul_v3_XM_002155237.3	HDHD3
Hvul_v3_XM_002155240.4	KXD1
Hvul_v3_XM_002155242.4	
Hvul_v3_XM_002155248.1	DUT
Hvul_v3_XM_002155253.4	RNPC3
Hvul_v3_XM_002155254.4	EGR3
Hvul_v3_XM_002155257.4	CASKIN2
Hvul_v3_XM_002155264.4	SPRY2
Hvul_v3_XM_002155270.4	FAM91A1
Hvul_v3_XM_002155276.4	NDUFS8
Hvul_v3_XM_002155277.4	DGKE
Hvul_v3_XM_002155279.3	SLC32A1
Hvul_v3_XM_002155286.4	GPALPP1
Hvul_v3_XM_002155287.4	
Hvul_v3_XM_002155295.4	BMP1
Hvul_v3_XM_002155323.4	RPS12
Hvul_v3_XM_002155325.4	ELP3
Hvul_v3_XM_002155326.4	PPIG
Hvul_v3_XM_002155327.4	
Hvul_v3_XM_002155338.4	TTC8
Hvul_v3_XM_002155342.4	PPM1K
Hvul_v3_XM_002155347.4	CCT7
Hvul_v3_XM_002155351.4	DNPEP
Hvul_v3_XM_002155354.4	ILRUN
Hvul_v3_XM_002155356.4	CTDSP2
Hvul_v3_XM_002155360.4	ALYREF
Hvul_v3_XM_002155364.3	
Hvul_v3_XM_002155383.4	ELP5
Hvul_v3_XM_002155385.4	
Hvul_v3_XM_002155406.4	ADGRL2
Hvul_v3_XM_002155410.4	EDEM2
Hvul_v3_XM_002155413.4	GATD3A
Hvul_v3_XM_002155414.3	ARFGAP3
Hvul_v3_XM_002155416.4	RAB2A
Hvul_v3_XM_002155419.4	
Hvul_v3_XM_002155420.4	
Hvul_v3_XM_002155422.4	P4HTM
Hvul_v3_XM_002155426.4	CTSL
Hvul_v3_XM_002155433.3	CCNI
Hvul_v3_XM_002155437.4	SUMF1
Hvul_v3_XM_002155443.4	CRYL1
Hvul_v3_XM_002155448.4	FICD
Hvul_v3_XM_002155450.4	CUL3
Hvul_v3_XM_002155452.4	RMC1
Hvul_v3_XM_002155456.4	DDR2
Hvul_v3_XM_002155457.3	FBXL12
Hvul_v3_XM_002155466.4	
Hvul_v3_XM_002155468.4	PRMT9
Hvul_v3_XM_002155478.4	ISCA1
Hvul_v3_XM_002155481.4	MESD
Hvul_v3_XM_002155483.3	
Hvul_v3_XM_002155485.4	ENTR1
Hvul_v3_XM_002155495.4	PARG
Hvul_v3_XM_002155496.4	GDI1
Hvul_v3_XM_002155505.4	MARCHF5
Hvul_v3_XM_002155509.4	BUD31
Hvul_v3_XM_002155512.4	CPOX
Hvul_v3_XM_002155518.4	DNAJC15
Hvul_v3_XM_002155520.4	TOP3B
Hvul_v3_XM_002155522.4	NUP153
Hvul_v3_XM_002155524.4	
Hvul_v3_XM_002155525.4	GFOD2
Hvul_v3_XM_002155536.4	TRIM71
Hvul_v3_XM_002155543.4	PUS7
Hvul_v3_XM_002155545.4	CIB1
Hvul_v3_XM_002155548.4	EIF3B
Hvul_v3_XM_002155556.4	FKBP1A
Hvul_v3_XM_002155563.4	
Hvul_v3_XM_002155580.4	C1GALT1
Hvul_v3_XM_002155586.4	URI1
Hvul_v3_XM_002155598.4	ASIC2
Hvul_v3_XM_002155604.3	MICALL2
Hvul_v3_XM_002155615.4	SPRTN
Hvul_v3_XM_002155622.4	COQ9
Hvul_v3_XM_002155625.2	HEXD
Hvul_v3_XM_002155634.3	NOP16
Hvul_v3_XM_002155639.4	EIF4H
Hvul_v3_XM_002155652.4	ERP44
Hvul_v3_XM_002155655.4	RMND5A
Hvul_v3_XM_002155658.4	CFAP298
Hvul_v3_XM_002155664.3	TUBA1C
Hvul_v3_XM_002155665.3	RSL24D1
Hvul_v3_XM_002155671.4	KIAA0319
Hvul_v3_XM_002155685.3	TXNDC17
Hvul_v3_XM_002155699.3	COX15
Hvul_v3_XM_002155700.4	BMPR1B
Hvul_v3_XM_002155707.4	KATNA1
Hvul_v3_XM_002155719.3	TDG
Hvul_v3_XM_002155721.3	
Hvul_v3_XM_002155729.4	ANO10
Hvul_v3_XM_002155750.4	CNTN3
Hvul_v3_XM_002155752.4	ERAL1
Hvul_v3_XM_002155756.3	QSOX1
Hvul_v3_XM_002155757.4	RYBP
Hvul_v3_XM_002155763.4	DAPP1
Hvul_v3_XM_002155777.4	
Hvul_v3_XM_002155778.3	
Hvul_v3_XM_002155787.4	TADA3
Hvul_v3_XM_002155794.4	OXNAD1
Hvul_v3_XM_002155798.4	VMP1
Hvul_v3_XM_002155810.4	
Hvul_v3_XM_002155822.4	CYRIB
Hvul_v3_XM_002155825.4	BTG1
Hvul_v3_XM_002155832.4	SNX17
Hvul_v3_XM_002155833.4	MTAP
Hvul_v3_XM_002155841.4	NDUFS6
Hvul_v3_XM_002155849.3	ABCD4
Hvul_v3_XM_002155853.4	ERGIC2
Hvul_v3_XM_002155858.4	SPOCK2
Hvul_v3_XM_002155860.4	POSTN
Hvul_v3_XM_002155864.4	PPIB
Hvul_v3_XM_002155865.4	TMEM222
Hvul_v3_XM_002155868.4	PAX2
Hvul_v3_XM_002155873.4	FTH1
Hvul_v3_XM_002155884.4	SAXO1
Hvul_v3_XM_002155893.4	RPS18
Hvul_v3_XM_002155898.4	PCYT2
Hvul_v3_XM_002155907.4	AXIN1
Hvul_v3_XM_002155917.4	FAXC
Hvul_v3_XM_002155924.4	FSHR
Hvul_v3_XM_002155928.4	YIPF1
Hvul_v3_XM_002155930.4	RAB3C
Hvul_v3_XM_002155933.4	SNAP29
Hvul_v3_XM_002155945.4	TMEM222
Hvul_v3_XM_002155953.4	TRIM24
Hvul_v3_XM_002155961.4	SGCD
Hvul_v3_XM_002155969.4	RPUSD4
Hvul_v3_XM_002155976.4	C9orf78
Hvul_v3_XM_002155986.4	RRAGC
Hvul_v3_XM_002155989.2	ACOT9
Hvul_v3_XM_002155990.4	SEC23B
Hvul_v3_XM_002155995.4	PSMA1
Hvul_v3_XM_002156007.4	DYNC1I1
Hvul_v3_XM_002156010.4	AL928654.3
Hvul_v3_XM_002156018.3	SF3A2
Hvul_v3_XM_002156019.4	DCPS
Hvul_v3_XM_002156022.3	ARL1
Hvul_v3_XM_002156032.4	RANGRF
Hvul_v3_XM_002156039.4	NDUFA4L2
Hvul_v3_XM_002156040.3	POP4
Hvul_v3_XM_002156049.3	H2BC1
Hvul_v3_XM_002156050.4	MYRIP
Hvul_v3_XM_002156052.4	CCND2
Hvul_v3_XM_002156059.4	MARCHF3
Hvul_v3_XM_002156063.3	
Hvul_v3_XM_002156076.4	EIF2S2
Hvul_v3_XM_002156088.4	
Hvul_v3_XM_002156089.4	TIMP3
Hvul_v3_XM_002156096.4	
Hvul_v3_XM_002156108.4	ZBED4
Hvul_v3_XM_002156120.4	SUMO1
Hvul_v3_XM_002156122.4	PTBP1
Hvul_v3_XM_002156123.4	ETF1
Hvul_v3_XM_002156129.4	DDX18
Hvul_v3_XM_002156138.4	CAPSL
Hvul_v3_XM_002156140.4	MCTP1
Hvul_v3_XM_002156144.4	EEF1D
Hvul_v3_XM_002156148.4	SLC66A2
Hvul_v3_XM_002156149.4	RRM1
Hvul_v3_XM_002156158.4	PDSS2
Hvul_v3_XM_002156159.4	TMEM203
Hvul_v3_XM_002156164.4	PPIL6
Hvul_v3_XM_002156165.1	DUT
Hvul_v3_XM_002156183.4	ATP5PF
Hvul_v3_XM_002156186.4	PKMYT1
Hvul_v3_XM_002156189.3	HPGD
Hvul_v3_XM_002156194.4	PPIL3
Hvul_v3_XM_002156200.4	SOX17
Hvul_v3_XM_002156201.4	TCERG1
Hvul_v3_XM_002156206.4	DYRK1A
Hvul_v3_XM_002156207.4	H1_0
Hvul_v3_XM_002156208.4	CSTF1
Hvul_v3_XM_002156210.3	METTL17
Hvul_v3_XM_002156218.4	CHIT1
Hvul_v3_XM_002156224.4	MPC2
Hvul_v3_XM_002156236.4	HSPA5
Hvul_v3_XM_002156242.4	RPP38
Hvul_v3_XM_002156252.3	P4HTM
Hvul_v3_XM_002156253.1	
Hvul_v3_XM_002156255.4	EXTL3
Hvul_v3_XM_002156276.4	PTRHD1
Hvul_v3_XM_002156284.4	RPSA
Hvul_v3_XM_002156287.4	HIBADH
Hvul_v3_XM_002156290.4	
Hvul_v3_XM_002156296.4	
Hvul_v3_XM_002156300.4	SEM1
