ko	uniprot_entry	ensembl_transcript	name	name_long
K00069	Q8VCC1	Mmus_ENSMUST00000034026	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	O35469	Mmus_ENSMUST00000029463	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P24815	Mmus_ENSMUST00000029465	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	Q61694	Mmus_ENSMUST00000044094	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	Q61767	Mmus_ENSMUST00000058728	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P26150	Mmus_ENSMUST00000090743	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P24815	Mmus_ENSMUST00000107016	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P26150	Mmus_ENSMUST00000107019	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P26149	Mmus_ENSMUST00000107021	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P26149	Mmus_ENSMUST00000107022	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	O35469	Mmus_ENSMUST00000170847	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	P26149	Mmus_ENSMUST00000177651	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	Q61767	Mmus_ENSMUST00000179429	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	Q61767	Mmus_ENSMUST00000186215	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00070	Q61767	Mmus_ENSMUST00000196861	HSD3B	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	P51661	Mmus_ENSMUST00000034363	HSD11B2	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	Q91XH5	Mmus_ENSMUST00000045986	SPR	sepiapterin reductase [EC:1.1.1.153]
K00072	Q91XH5	Mmus_ENSMUST00000204757	SPR	sepiapterin reductase [EC:1.1.1.153]
K00078	Q9DBB8	Mmus_ENSMUST00000011526	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	P48758	Mmus_ENSMUST00000039659	CBR1	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	P08074	Mmus_ENSMUST00000026148	CBR2	carbonyl reductase 2 [EC:1.1.1.184]
K00084	Q8K354	Mmus_ENSMUST00000039620	CBR3	carbonyl reductase 3 [EC:1.1.1.184]
K00088	P50096	Mmus_ENSMUST00000078155	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
K00088	P24547	Mmus_ENSMUST00000081111	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
K00088	P50096	Mmus_ENSMUST00000159124	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
K00088	P50096	Mmus_ENSMUST00000162099	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]
K00102	Q7TNG8	Mmus_ENSMUST00000070004	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	P58710	Mmus_ENSMUST00000059970	GULO	L-gulonolactone oxidase [EC:1.1.3.8]
K00106	Q00519	Mmus_ENSMUST00000024866	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00108	Q8BJ64	Mmus_ENSMUST00000067620	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]
K00108	Q8BJ64	Mmus_ENSMUST00000118917	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]
K00109	Q91YP0	Mmus_ENSMUST00000021370	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	Q64521	Mmus_ENSMUST00000028167	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00111	Q64521	Mmus_ENSMUST00000169687	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00121	P28474	Mmus_ENSMUST00000005964	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00128	P47738	Mmus_ENSMUST00000031411	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	Q9CZS1	Mmus_ENSMUST00000044384	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00128	P47740	Mmus_ENSMUST00000074127	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	P47739	Mmus_ENSMUST00000019246	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00129	Q80VQ0	Mmus_ENSMUST00000051803	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00129	P47739	Mmus_ENSMUST00000108716	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00129	E9Q3E1	Mmus_ENSMUST00000143380	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00129	J3QMK6	Mmus_ENSMUST00000179433	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00134	P16858	Mmus_ENSMUST00000073605	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00134	P16858	Mmus_ENSMUST00000118875	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00139	Q8BWF0	Mmus_ENSMUST00000037615	ALDH5A1	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	Q9EQ20	Mmus_ENSMUST00000085192	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00142	Q80WC9	Mmus_ENSMUST00000069709	AASDH	acyl-CoA synthetase [EC:6.2.1.-]
K00142	Q80WC9	Mmus_ENSMUST00000120963	AASDH	acyl-CoA synthetase [EC:6.2.1.-]
K00149	Q9JLJ2	Mmus_ENSMUST00000028004	ALDH9A1	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00157	G3X8P9	Mmus_ENSMUST00000001027	AOX	aldehyde oxidase [EC:1.2.3.1]
K00157	Q3TYQ9	Mmus_ENSMUST00000040442	AOX	aldehyde oxidase [EC:1.2.3.1]
K00157	G3X982	Mmus_ENSMUST00000040999	AOX	aldehyde oxidase [EC:1.2.3.1]
K00157	Q5SGK3	Mmus_ENSMUST00000114366	AOX	aldehyde oxidase [EC:1.2.3.1]
K00161	P35486	Mmus_ENSMUST00000033662	PDHA, pdhA	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00161	P35487	Mmus_ENSMUST00000057860	PDHA, pdhA	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	Q9D051	Mmus_ENSMUST00000022268	PDHB, pdhB	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00164	Q60597	Mmus_ENSMUST00000003461	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00164	E9Q7L0	Mmus_ENSMUST00000022480	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00164	Q60597	Mmus_ENSMUST00000093350	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00164	Q60597	Mmus_ENSMUST00000101554	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00164	B2RXT3	Mmus_ENSMUST00000228529	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00167	Q6P3A8	Mmus_ENSMUST00000034801	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00167	Q6P3A8	Mmus_ENSMUST00000190166	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00167	Q6P3A8	Mmus_ENSMUST00000190637	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00181	Q9JJJ7	Mmus_ENSMUST00000077595	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]
K00181	Q9JJJ7	Mmus_ENSMUST00000082320	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]
K00181	Q9JJJ7	Mmus_ENSMUST00000089402	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]
K00181	Q9JJJ7	Mmus_ENSMUST00000089403	PORCN	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	P21552	Mmus_ENSMUST00000010941	WNT2	wingless-type MMTV integration site family, member 2
K00182	O70283	Mmus_ENSMUST00000029429	WNT2	wingless-type MMTV integration site family, member 2
K00207	Q8CHR6	Mmus_ENSMUST00000039177	DPYD	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00212	Q91WR5	Mmus_ENSMUST00000021628	AKR1C1	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	O88455	Mmus_ENSMUST00000073878	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00213	O88455	Mmus_ENSMUST00000124340	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00213	O88455	Mmus_ENSMUST00000141916	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	Q9CY64	Mmus_ENSMUST00000002064	BLVRA, bvdR	biliverdin reductase [EC:1.3.1.24]
K00222	Q71KT5	Mmus_ENSMUST00000025713	TM7SF2, ERG24	Delta14-sterol reductase [EC:1.3.1.70]
K00222	Q3V3I6	Mmus_ENSMUST00000161528	TM7SF2, ERG24	Delta14-sterol reductase [EC:1.3.1.70]
K00227	O88822	Mmus_ENSMUST00000052725	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00227	O88822	Mmus_ENSMUST00000169609	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	P36552	Mmus_ENSMUST00000060077	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]
K00231	P51175	Mmus_ENSMUST00000073120	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	Q9R0H0	Mmus_ENSMUST00000066587	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
K00232	Q9EPL9	Mmus_ENSMUST00000068947	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
K00232	Q9R0H0	Mmus_ENSMUST00000072948	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
K00232	Q9EPL9	Mmus_ENSMUST00000114237	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
K00234	Q8K2B3	Mmus_ENSMUST00000022062	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	Q9CQA3	Mmus_ENSMUST00000010007	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	Q9CZB0	Mmus_ENSMUST00000111336	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	Q9CXV1	Mmus_ENSMUST00000000175	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00248	Q07417	Mmus_ENSMUST00000031524	ACADS, bcd	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	P45952	Mmus_ENSMUST00000072697	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	Q8VCX1	Mmus_ENSMUST00000040987	AKR1D1	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00252	A0A0A0MQ68	Mmus_ENSMUST00000003907	GCDH, gcdH	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00252	Q60759	Mmus_ENSMUST00000109745	GCDH, gcdH	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	Q9JHI5	Mmus_ENSMUST00000028807	IVD, ivd	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	O35435	Mmus_ENSMUST00000123605	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	A0A0R4J083	Mmus_ENSMUST00000027153	ACADL	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00261	P26443	Mmus_ENSMUST00000022322	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00272	Q922Z0	Mmus_ENSMUST00000019977	DDO	D-aspartate oxidase [EC:1.4.3.1]
K00272	Q922Z0	Mmus_ENSMUST00000216830	DDO	D-aspartate oxidase [EC:1.4.3.1]
K00273	P18894	Mmus_ENSMUST00000112292	DAO, aao	D-amino-acid oxidase [EC:1.4.3.3]
K00273	P18894	Mmus_ENSMUST00000161610	DAO, aao	D-amino-acid oxidase [EC:1.4.3.3]
K00274	Q64133	Mmus_ENSMUST00000026013	MAO, aofH	monoamine oxidase [EC:1.4.3.4]
K00274	Q8BW75	Mmus_ENSMUST00000040820	MAO, aofH	monoamine oxidase [EC:1.4.3.4]
K00275	Q91XF0	Mmus_ENSMUST00000018803	pdxH, PNPO	pyridoxamine 5-phosphate oxidase [EC:1.4.3.5]
K00276	Q812C9	Mmus_ENSMUST00000041095	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]
K00276	O70423	Mmus_ENSMUST00000103105	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]
K00277	P28301	Mmus_ENSMUST00000025409	LOX	protein-lysine 6-oxidase [EC:1.4.3.13]
K00277	P28301	Mmus_ENSMUST00000171470	LOX	protein-lysine 6-oxidase [EC:1.4.3.13]
K00280	Q9Z175	Mmus_ENSMUST00000000707	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00280	P58022	Mmus_ENSMUST00000022660	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00280	Q924C6	Mmus_ENSMUST00000026190	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00280	P58022	Mmus_ENSMUST00000100420	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00280	Q924C6	Mmus_ENSMUST00000171432	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	Q91W43	Mmus_ENSMUST00000025778	GLDC, gcvP	glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]
K00286	Q922W5	Mmus_ENSMUST00000026133	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00286	Q922Q4	Mmus_ENSMUST00000027802	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00286	Q9DCC4	Mmus_ENSMUST00000053918	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00286	Q922W5	Mmus_ENSMUST00000170556	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	P00375	Mmus_ENSMUST00000022218	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]
K00288	Q922D8	Mmus_ENSMUST00000021443	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	Q8K009	Mmus_ENSMUST00000020497	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00289	Q8R0Y6	Mmus_ENSMUST00000032175	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00289	Q8R0Y6	Mmus_ENSMUST00000130418	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00294	Q8CHT0	Mmus_ENSMUST00000039818	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00306	Q9D826	Mmus_ENSMUST00000017597	PIPOX	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00308	Q8C0L6	Mmus_ENSMUST00000026537	PAOX	N1-acetylpolyamine oxidase [EC:1.5.3.13]
K00311	Q921G7	Mmus_ENSMUST00000029386	ETFDH	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00312	P17553	Mmus_ENSMUST00000000127	WNT3	wingless-type MMTV integration site family, member 3
K00312	P27467	Mmus_ENSMUST00000010044	WNT3	wingless-type MMTV integration site family, member 3
K00314	Q99LB7	Mmus_ENSMUST00000102886	SARDH	sarcosine dehydrogenase [EC:1.5.8.3]
K00315	Q9DBT9	Mmus_ENSMUST00000048001	DMGDH	dimethylglycine dehydrogenase [EC:1.5.8.4]
K00318	Q9WU79	Mmus_ENSMUST00000003620	PRODH, fadM, putB	proline dehydrogenase [EC:1.5.5.2]
K00323	Q8BGK0	Mmus_ENSMUST00000099149	NNT	proton-translocating NAD(P)+ transhydrogenase [EC:7.1.1.1]
K00323	Q8BGK0	Mmus_ENSMUST00000223268	NNT	proton-translocating NAD(P)+ transhydrogenase [EC:7.1.1.1]
K00326	Q9DCN2	Mmus_ENSMUST00000018186	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q9DB73	Mmus_ENSMUST00000027726	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	B1AS42	Mmus_ENSMUST00000030364	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q3KNK3	Mmus_ENSMUST00000052438	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	B1AS42	Mmus_ENSMUST00000106756	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	B1AS42	Mmus_ENSMUST00000106758	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q9DB73	Mmus_ENSMUST00000154237	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q9DCN2	Mmus_ENSMUST00000162834	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q3TDX8	Mmus_ENSMUST00000168529	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00326	Q3KNK3	Mmus_ENSMUST00000208217	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
K00327	P37040	Mmus_ENSMUST00000005651	POR	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K00344	P47199	Mmus_ENSMUST00000029850	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]
K00344	P47199	Mmus_ENSMUST00000192462	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]
K00355	Q64669	Mmus_ENSMUST00000003947	NQO1	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00357	Q8BVI4	Mmus_ENSMUST00000015950	QDPR	dihydropteridine reductase [EC:1.5.1.34]
K00364	Q9DCZ1	Mmus_ENSMUST00000000260	guaC, GMPR	GMP reductase [EC:1.7.1.7]
K00364	Q99L27	Mmus_ENSMUST00000002397	guaC, GMPR	GMP reductase [EC:1.7.1.7]
K00365	P25688	Mmus_ENSMUST00000029837	uaZ	urate oxidase [EC:1.7.3.3]
K00382	O08749	Mmus_ENSMUST00000110857	DLD, lpd, pdhD	dihydrolipoyl dehydrogenase [EC:1.8.1.4]
K00383	P47791	Mmus_ENSMUST00000033992	GSR, gor	glutathione reductase (NADPH) [EC:1.8.1.7]
K00387	Q8R086	Mmus_ENSMUST00000054764	SUOX	sulfite oxidase [EC:1.8.3.1]
K00408	P22724	Mmus_ENSMUST00000045747	WNT4	wingless-type MMTV integration site family, member 4
K00411	Q9CR68	Mmus_ENSMUST00000042834	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
K00412	P00158	Mmus_ENSMUST00000082421	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	Q9D0M3	Mmus_ENSMUST00000023210	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00414	Q9CZ13	Mmus_ENSMUST00000026743	QCR1, UQCRC1	ubiquinol-cytochrome c reductase core subunit 1
K00415	Q9DB77	Mmus_ENSMUST00000033176	QCR2, UQCRC2	ubiquinol-cytochrome c reductase core subunit 2
K00416	P99028	Mmus_ENSMUST00000078676	QCR6, UQCRH	ubiquinol-cytochrome c reductase subunit 6
K00417	Q9CQB4	Mmus_ENSMUST00000021993	QCR7, UQCRB	ubiquinol-cytochrome c reductase subunit 7
K00418	Q9CQ69	Mmus_ENSMUST00000061326	QCR8, UQCRQ	ubiquinol-cytochrome c reductase subunit 8
K00418	Q9CQ69	Mmus_ENSMUST00000109021	QCR8, UQCRQ	ubiquinol-cytochrome c reductase subunit 8
K00419	Q8R1I1	Mmus_ENSMUST00000058407	QCR9, UCRC	ubiquinol-cytochrome c reductase subunit 9
K00420	Q9CPX8	Mmus_ENSMUST00000020372	QCR10, UQCR	ubiquinol-cytochrome c reductase subunit 10
K00431	P35419	Mmus_ENSMUST00000021005	TPO	thyroid peroxidase [EC:1.11.1.8]
K00432	Q91WR8	Mmus_ENSMUST00000004453	gpx, btuE, bsaA	glutathione peroxidase [EC:1.11.1.9]
