Ocupat_v02_G000001.t0	Ocupat_v02_G000001
Ocupat_v02_G000177.t0	Ocupat_v02_G000177
Ocupat_v02_G000178.t0	Ocupat_v02_G000178
Ocupat_v02_G000180.t0	Ocupat_v02_G000180
Ocupat_v02_G000181.t0	Ocupat_v02_G000181
Ocupat_v02_G000182.t0	Ocupat_v02_G000182
Ocupat_v02_G000182.t1	Ocupat_v02_G000182
Ocupat_v02_G000182.t2	Ocupat_v02_G000182
Ocupat_v02_G000183.t0	Ocupat_v02_G000183
Ocupat_v02_G000184.t0	Ocupat_v02_G000184
Ocupat_v02_G000185.t0	Ocupat_v02_G000185
Ocupat_v02_G000186.t0	Ocupat_v02_G000186
Ocupat_v02_G000187.t0	Ocupat_v02_G000187
Ocupat_v02_G000188.t0	Ocupat_v02_G000188
Ocupat_v02_G000189.t0	Ocupat_v02_G000189
Ocupat_v02_G000189.t1	Ocupat_v02_G000189
Ocupat_v02_G000190.t0	Ocupat_v02_G000190
Ocupat_v02_G000191.t0	Ocupat_v02_G000191
Ocupat_v02_G000192.t0	Ocupat_v02_G000192
Ocupat_v02_G000193.t0	Ocupat_v02_G000193
Ocupat_v02_G000194.t0	Ocupat_v02_G000194
Ocupat_v02_G000195.t0	Ocupat_v02_G000195
Ocupat_v02_G000199.t0	Ocupat_v02_G000199
Ocupat_v02_G000200.t0	Ocupat_v02_G000200
Ocupat_v02_G000201.t0	Ocupat_v02_G000201
Ocupat_v02_G000202.t0	Ocupat_v02_G000202
Ocupat_v02_G000203.t0	Ocupat_v02_G000203
Ocupat_v02_G000204.t0	Ocupat_v02_G000204
Ocupat_v02_G000205.t0	Ocupat_v02_G000205
Ocupat_v02_G000205.t1	Ocupat_v02_G000205
Ocupat_v02_G000206.t0	Ocupat_v02_G000206
Ocupat_v02_G000207.t0	Ocupat_v02_G000207
Ocupat_v02_G000208.t0	Ocupat_v02_G000208
Ocupat_v02_G000209.t0	Ocupat_v02_G000209
Ocupat_v02_G000209.t1	Ocupat_v02_G000209
Ocupat_v02_G000210.t0	Ocupat_v02_G000210
Ocupat_v02_G000211.t0	Ocupat_v02_G000211
Ocupat_v02_G000216.t0	Ocupat_v02_G000216
Ocupat_v02_G000217.t0	Ocupat_v02_G000217
Ocupat_v02_G000217.t1	Ocupat_v02_G000217
Ocupat_v02_G000217.t2	Ocupat_v02_G000217
Ocupat_v02_G000218.t0	Ocupat_v02_G000218
Ocupat_v02_G000218.t1	Ocupat_v02_G000218
Ocupat_v02_G000220.t0	Ocupat_v02_G000220
Ocupat_v02_G000221.t0	Ocupat_v02_G000221
Ocupat_v02_G000222.t0	Ocupat_v02_G000222
Ocupat_v02_G000223.t0	Ocupat_v02_G000223
Ocupat_v02_G000225.t0	Ocupat_v02_G000225
Ocupat_v02_G000227.t0	Ocupat_v02_G000227
Ocupat_v02_G000228.t0	Ocupat_v02_G000228
Ocupat_v02_G000228.t1	Ocupat_v02_G000228
Ocupat_v02_G000229.t0	Ocupat_v02_G000229
Ocupat_v02_G000229.t1	Ocupat_v02_G000229
Ocupat_v02_G000230.t0	Ocupat_v02_G000230
Ocupat_v02_G000231.t0	Ocupat_v02_G000231
Ocupat_v02_G000233.t0	Ocupat_v02_G000233
Ocupat_v02_G000234.t0	Ocupat_v02_G000234
Ocupat_v02_G000235.t0	Ocupat_v02_G000235
Ocupat_v02_G000235.t1	Ocupat_v02_G000235
Ocupat_v02_G000236.t0	Ocupat_v02_G000236
Ocupat_v02_G000238.t0	Ocupat_v02_G000238
Ocupat_v02_G000241.t0	Ocupat_v02_G000241
Ocupat_v02_G000242.t0	Ocupat_v02_G000242
Ocupat_v02_G000243.t0	Ocupat_v02_G000243
Ocupat_v02_G000243.t1	Ocupat_v02_G000243
Ocupat_v02_G000244.t0	Ocupat_v02_G000244
Ocupat_v02_G000244.t1	Ocupat_v02_G000244
Ocupat_v02_G000245.t0	Ocupat_v02_G000245
Ocupat_v02_G000246.t0	Ocupat_v02_G000246
Ocupat_v02_G000247.t0	Ocupat_v02_G000247
Ocupat_v02_G000247.t1	Ocupat_v02_G000247
Ocupat_v02_G000248.t0	Ocupat_v02_G000248
Ocupat_v02_G000249.t0	Ocupat_v02_G000249
Ocupat_v02_G000250.t0	Ocupat_v02_G000250
Ocupat_v02_G000251.t0	Ocupat_v02_G000251
Ocupat_v02_G000252.t0	Ocupat_v02_G000252
Ocupat_v02_G000254.t0	Ocupat_v02_G000254
Ocupat_v02_G000255.t0	Ocupat_v02_G000255
Ocupat_v02_G000256.t0	Ocupat_v02_G000256
Ocupat_v02_G000257.t0	Ocupat_v02_G000257
Ocupat_v02_G000258.t0	Ocupat_v02_G000258
Ocupat_v02_G000259.t0	Ocupat_v02_G000259
Ocupat_v02_G000260.t0	Ocupat_v02_G000260
Ocupat_v02_G000261.t0	Ocupat_v02_G000261
Ocupat_v02_G000262.t0	Ocupat_v02_G000262
Ocupat_v02_G000263.t0	Ocupat_v02_G000263
Ocupat_v02_G000263.t1	Ocupat_v02_G000263
Ocupat_v02_G000264.t0	Ocupat_v02_G000264
Ocupat_v02_G000264.t1	Ocupat_v02_G000264
Ocupat_v02_G000264.t2	Ocupat_v02_G000264
Ocupat_v02_G000265.t0	Ocupat_v02_G000265
Ocupat_v02_G000266.t0	Ocupat_v02_G000266
Ocupat_v02_G000267.t0	Ocupat_v02_G000267
Ocupat_v02_G000268.t0	Ocupat_v02_G000268
Ocupat_v02_G000269.t0	Ocupat_v02_G000269
Ocupat_v02_G000270.t0	Ocupat_v02_G000270
Ocupat_v02_G000271.t0	Ocupat_v02_G000271
Ocupat_v02_G000272.t0	Ocupat_v02_G000272
Ocupat_v02_G000273.t0	Ocupat_v02_G000273
Ocupat_v02_G000273.t1	Ocupat_v02_G000273
Ocupat_v02_G000276.t0	Ocupat_v02_G000276
Ocupat_v02_G000279.t0	Ocupat_v02_G000279
Ocupat_v02_G000280.t0	Ocupat_v02_G000280
Ocupat_v02_G000280.t1	Ocupat_v02_G000280
Ocupat_v02_G000280.t2	Ocupat_v02_G000280
Ocupat_v02_G000285.t0	Ocupat_v02_G000285
Ocupat_v02_G000286.t0	Ocupat_v02_G000286
Ocupat_v02_G000287.t0	Ocupat_v02_G000287
Ocupat_v02_G000289.t0	Ocupat_v02_G000289
Ocupat_v02_G000290.t0	Ocupat_v02_G000290
Ocupat_v02_G000290.t1	Ocupat_v02_G000290
Ocupat_v02_G000292.t0	Ocupat_v02_G000292
Ocupat_v02_G000294.t0	Ocupat_v02_G000294
Ocupat_v02_G000295.t0	Ocupat_v02_G000295
Ocupat_v02_G000296.t0	Ocupat_v02_G000296
Ocupat_v02_G000297.t0	Ocupat_v02_G000297
Ocupat_v02_G000298.t0	Ocupat_v02_G000298
Ocupat_v02_G000299.t0	Ocupat_v02_G000299
Ocupat_v02_G000300.t0	Ocupat_v02_G000300
Ocupat_v02_G000301.t0	Ocupat_v02_G000301
Ocupat_v02_G000302.t0	Ocupat_v02_G000302
Ocupat_v02_G000303.t0	Ocupat_v02_G000303
Ocupat_v02_G000304.t0	Ocupat_v02_G000304
Ocupat_v02_G000305.t0	Ocupat_v02_G000305
Ocupat_v02_G000306.t0	Ocupat_v02_G000306
Ocupat_v02_G000307.t0	Ocupat_v02_G000307
Ocupat_v02_G000308.t0	Ocupat_v02_G000308
Ocupat_v02_G000309.t0	Ocupat_v02_G000309
Ocupat_v02_G000310.t0	Ocupat_v02_G000310
Ocupat_v02_G000311.t0	Ocupat_v02_G000311
Ocupat_v02_G000312.t0	Ocupat_v02_G000312
Ocupat_v02_G000314.t0	Ocupat_v02_G000314
Ocupat_v02_G000315.t0	Ocupat_v02_G000315
Ocupat_v02_G000316.t0	Ocupat_v02_G000316
Ocupat_v02_G000317.t0	Ocupat_v02_G000317
Ocupat_v02_G000318.t0	Ocupat_v02_G000318
Ocupat_v02_G000321.t0	Ocupat_v02_G000321
Ocupat_v02_G000322.t0	Ocupat_v02_G000322
Ocupat_v02_G000323.t0	Ocupat_v02_G000323
Ocupat_v02_G000324.t0	Ocupat_v02_G000324
Ocupat_v02_G000325.t0	Ocupat_v02_G000325
Ocupat_v02_G000326.t0	Ocupat_v02_G000326
Ocupat_v02_G000327.t0	Ocupat_v02_G000327
Ocupat_v02_G000329.t0	Ocupat_v02_G000329
Ocupat_v02_G000330.t0	Ocupat_v02_G000330
Ocupat_v02_G000331.t0	Ocupat_v02_G000331
Ocupat_v02_G000332.t0	Ocupat_v02_G000332
Ocupat_v02_G000333.t0	Ocupat_v02_G000333
Ocupat_v02_G000334.t0	Ocupat_v02_G000334
Ocupat_v02_G000335.t0	Ocupat_v02_G000335
Ocupat_v02_G000337.t0	Ocupat_v02_G000337
Ocupat_v02_G000338.t0	Ocupat_v02_G000338
Ocupat_v02_G000339.t0	Ocupat_v02_G000339
Ocupat_v02_G000340.t0	Ocupat_v02_G000340
Ocupat_v02_G000341.t0	Ocupat_v02_G000341
Ocupat_v02_G000342.t0	Ocupat_v02_G000342
Ocupat_v02_G000343.t0	Ocupat_v02_G000343
Ocupat_v02_G000344.t0	Ocupat_v02_G000344
Ocupat_v02_G000345.t0	Ocupat_v02_G000345
Ocupat_v02_G000346.t0	Ocupat_v02_G000346
Ocupat_v02_G000347.t0	Ocupat_v02_G000347
Ocupat_v02_G000348.t0	Ocupat_v02_G000348
Ocupat_v02_G000349.t0	Ocupat_v02_G000349
Ocupat_v02_G000350.t0	Ocupat_v02_G000350
Ocupat_v02_G000351.t0	Ocupat_v02_G000351
Ocupat_v02_G000352.t0	Ocupat_v02_G000352
Ocupat_v02_G000353.t0	Ocupat_v02_G000353
Ocupat_v02_G000354.t0	Ocupat_v02_G000354
Ocupat_v02_G000355.t0	Ocupat_v02_G000355
Ocupat_v02_G000356.t0	Ocupat_v02_G000356
Ocupat_v02_G000357.t0	Ocupat_v02_G000357
Ocupat_v02_G000357.t1	Ocupat_v02_G000357
Ocupat_v02_G000357.t2	Ocupat_v02_G000357
Ocupat_v02_G000357.t3	Ocupat_v02_G000357
Ocupat_v02_G000358.t0	Ocupat_v02_G000358
Ocupat_v02_G000358.t1	Ocupat_v02_G000358
Ocupat_v02_G000358.t2	Ocupat_v02_G000358
Ocupat_v02_G000358.t3	Ocupat_v02_G000358
Ocupat_v02_G000358.t4	Ocupat_v02_G000358
Ocupat_v02_G000358.t5	Ocupat_v02_G000358
Ocupat_v02_G000359.t0	Ocupat_v02_G000359
Ocupat_v02_G000361.t0	Ocupat_v02_G000361
Ocupat_v02_G000362.t0	Ocupat_v02_G000362
Ocupat_v02_G000363.t0	Ocupat_v02_G000363
Ocupat_v02_G000364.t0	Ocupat_v02_G000364
Ocupat_v02_G000365.t0	Ocupat_v02_G000365
Ocupat_v02_G000366.t0	Ocupat_v02_G000366
Ocupat_v02_G000367.t0	Ocupat_v02_G000367
Ocupat_v02_G000368.t0	Ocupat_v02_G000368
Ocupat_v02_G000368.t1	Ocupat_v02_G000368
Ocupat_v02_G000369.t0	Ocupat_v02_G000369
Ocupat_v02_G000369.t1	Ocupat_v02_G000369
Ocupat_v02_G000370.t0	Ocupat_v02_G000370
Ocupat_v02_G000371.t0	Ocupat_v02_G000371
Ocupat_v02_G000372.t0	Ocupat_v02_G000372
Ocupat_v02_G000377.t0	Ocupat_v02_G000377
Ocupat_v02_G000377.t1	Ocupat_v02_G000377
Ocupat_v02_G000378.t0	Ocupat_v02_G000378
Ocupat_v02_G000379.t0	Ocupat_v02_G000379
Ocupat_v02_G000380.t0	Ocupat_v02_G000380
Ocupat_v02_G000381.t0	Ocupat_v02_G000381
Ocupat_v02_G000383.t0	Ocupat_v02_G000383
Ocupat_v02_G000384.t0	Ocupat_v02_G000384
Ocupat_v02_G000385.t0	Ocupat_v02_G000385
Ocupat_v02_G000386.t0	Ocupat_v02_G000386
Ocupat_v02_G000387.t0	Ocupat_v02_G000387
Ocupat_v02_G000388.t0	Ocupat_v02_G000388
Ocupat_v02_G000389.t0	Ocupat_v02_G000389
Ocupat_v02_G000390.t0	Ocupat_v02_G000390
Ocupat_v02_G000391.t0	Ocupat_v02_G000391
Ocupat_v02_G000392.t0	Ocupat_v02_G000392
Ocupat_v02_G000393.t0	Ocupat_v02_G000393
Ocupat_v02_G000395.t0	Ocupat_v02_G000395
Ocupat_v02_G000398.t0	Ocupat_v02_G000398
Ocupat_v02_G000399.t0	Ocupat_v02_G000399
Ocupat_v02_G000402.t0	Ocupat_v02_G000402
Ocupat_v02_G000403.t0	Ocupat_v02_G000403
Ocupat_v02_G000404.t0	Ocupat_v02_G000404
Ocupat_v02_G000406.t0	Ocupat_v02_G000406
Ocupat_v02_G000406.t1	Ocupat_v02_G000406
Ocupat_v02_G000407.t0	Ocupat_v02_G000407
Ocupat_v02_G000408.t0	Ocupat_v02_G000408
Ocupat_v02_G000410.t0	Ocupat_v02_G000410
Ocupat_v02_G000411.t0	Ocupat_v02_G000411
Ocupat_v02_G000412.t0	Ocupat_v02_G000412
Ocupat_v02_G000413.t0	Ocupat_v02_G000413
Ocupat_v02_G000414.t0	Ocupat_v02_G000414
Ocupat_v02_G000415.t0	Ocupat_v02_G000415
Ocupat_v02_G000416.t0	Ocupat_v02_G000416
Ocupat_v02_G000417.t0	Ocupat_v02_G000417
Ocupat_v02_G000418.t0	Ocupat_v02_G000418
Ocupat_v02_G000419.t0	Ocupat_v02_G000419
Ocupat_v02_G000420.t0	Ocupat_v02_G000420
Ocupat_v02_G000422.t0	Ocupat_v02_G000422
Ocupat_v02_G000427.t0	Ocupat_v02_G000427
Ocupat_v02_G000428.t0	Ocupat_v02_G000428
Ocupat_v02_G000429.t0	Ocupat_v02_G000429
Ocupat_v02_G000430.t0	Ocupat_v02_G000430
Ocupat_v02_G000433.t0	Ocupat_v02_G000433
Ocupat_v02_G000434.t0	Ocupat_v02_G000434
Ocupat_v02_G000436.t0	Ocupat_v02_G000436
Ocupat_v02_G000437.t0	Ocupat_v02_G000437
Ocupat_v02_G000438.t0	Ocupat_v02_G000438
Ocupat_v02_G000440.t0	Ocupat_v02_G000440
Ocupat_v02_G000441.t0	Ocupat_v02_G000441
Ocupat_v02_G000442.t0	Ocupat_v02_G000442
Ocupat_v02_G000444.t0	Ocupat_v02_G000444
Ocupat_v02_G000445.t0	Ocupat_v02_G000445
Ocupat_v02_G000446.t0	Ocupat_v02_G000446
Ocupat_v02_G000447.t0	Ocupat_v02_G000447
Ocupat_v02_G000450.t0	Ocupat_v02_G000450
Ocupat_v02_G000451.t0	Ocupat_v02_G000451
Ocupat_v02_G000452.t0	Ocupat_v02_G000452
Ocupat_v02_G000453.t0	Ocupat_v02_G000453
Ocupat_v02_G000454.t0	Ocupat_v02_G000454
Ocupat_v02_G000455.t0	Ocupat_v02_G000455
Ocupat_v02_G000456.t0	Ocupat_v02_G000456
Ocupat_v02_G000457.t0	Ocupat_v02_G000457
Ocupat_v02_G000458.t0	Ocupat_v02_G000458
Ocupat_v02_G000460.t0	Ocupat_v02_G000460
Ocupat_v02_G000461.t0	Ocupat_v02_G000461
Ocupat_v02_G000462.t0	Ocupat_v02_G000462
Ocupat_v02_G000463.t0	Ocupat_v02_G000463
Ocupat_v02_G000464.t0	Ocupat_v02_G000464
Ocupat_v02_G000465.t0	Ocupat_v02_G000465
Ocupat_v02_G000466.t0	Ocupat_v02_G000466
Ocupat_v02_G000467.t0	Ocupat_v02_G000467
Ocupat_v02_G000468.t0	Ocupat_v02_G000468
Ocupat_v02_G000468.t1	Ocupat_v02_G000468
Ocupat_v02_G000468.t2	Ocupat_v02_G000468
Ocupat_v02_G000468.t3	Ocupat_v02_G000468
Ocupat_v02_G000469.t0	Ocupat_v02_G000469
Ocupat_v02_G000470.t0	Ocupat_v02_G000470
Ocupat_v02_G000471.t0	Ocupat_v02_G000471
Ocupat_v02_G000471.t1	Ocupat_v02_G000471
Ocupat_v02_G000472.t0	Ocupat_v02_G000472
Ocupat_v02_G000473.t0	Ocupat_v02_G000473
Ocupat_v02_G000473.t1	Ocupat_v02_G000473
Ocupat_v02_G000474.t0	Ocupat_v02_G000474
Ocupat_v02_G000475.t0	Ocupat_v02_G000475
Ocupat_v02_G000476.t0	Ocupat_v02_G000476
Ocupat_v02_G000477.t0	Ocupat_v02_G000477
Ocupat_v02_G000479.t0	Ocupat_v02_G000479
Ocupat_v02_G000480.t0	Ocupat_v02_G000480
Ocupat_v02_G000481.t0	Ocupat_v02_G000481
Ocupat_v02_G000482.t0	Ocupat_v02_G000482
Ocupat_v02_G000483.t0	Ocupat_v02_G000483
Ocupat_v02_G000484.t0	Ocupat_v02_G000484
