Exapal_XM_021036134.2		
Exapal_XM_021036135.2	methionine_sulfoxide_reductase_B2	SelR/
Exapal_XM_021036296.2	nucleolus_and_neural_progenitor_protein	DUF4477/
Exapal_XM_021036299.2	neuropeptide_FF_receptor_2	7tm_1/
Exapal_XM_021036300.2	matrix_metallopeptidase_25	PG_binding_1/Peptidase_M10/Hemopexin/Hemopexin/Hemopexin/Hemopexin/
Exapal_XM_021036301.2	matrix_metallopeptidase_14	PG_binding_1/Peptidase_M10/Hemopexin/Hemopexin/Hemopexin/
Exapal_XM_021036302.2	selenoprotein_N	
Exapal_XM_021036304.2	adaptor_related_protein_complex_5_subunit_mu_1	Adap_comp_sub/
Exapal_XM_021036305.2	chromosome_1_open_reading_frame_198	DUF4706/
Exapal_XM_021036306.2	dpy_30_histone_methyltransferase_complex_regulatory_subunit	Dpy-30/
Exapal_XM_021036308.2	delta_4_desaturase_sphingolipid_1	Lipid_DES/FA_desaturase/
Exapal_XM_021036309.2		
Exapal_XM_021036310.2	kielin_cysteine_rich_BMP_regulator	
Exapal_XM_021036311.2	adrenoceptor_alpha_1B	7tm_1/
Exapal_XM_021036312.2		
Exapal_XM_021036313.2		
Exapal_XM_021036314.2	collagen_type_XXII_alpha_1_chain	VWA/
Exapal_XM_021036316.2	haloacid_dehalogenase_like_hydrolase_domain_containing_3	HAD_2/
Exapal_XM_021036317.2		
Exapal_XM_021036318.2	synaptotagmin_16	C2/C2/
Exapal_XM_021036321.2		
Exapal_XM_021036322.2	neuropeptide_FF_receptor_2	7tm_1/
Exapal_XM_021036323.2	3_hydroxyanthranilate_3_4_dioxygenase	3-HAO/
Exapal_XM_021036324.2	sperm_tail_PG_rich_repeat_containing_4	
Exapal_XM_021036325.2		PCC/
Exapal_XM_021036327.2	leucine_rich_repeat_kinase_2	Ank_4/LRR_8/Roc/COR/Pkinase/
Exapal_XM_021036328.2	neuron_navigator_3	CH/SAM_1/
Exapal_XM_021036329.2		Polysacc_deac_1/
Exapal_XM_021036330.2	milk_fat_globule_EGF_factor_8_protein	F5_F8_type_C/
Exapal_XM_021036331.2	insulin_like_growth_factor_2_receptor	fn2/
Exapal_XM_021036332.2	WD_repeat_domain_83_opposite_strand	UPF0139/
Exapal_XM_021036333.2		
Exapal_XM_021036334.2		
Exapal_XM_021036335.2		
Exapal_XM_021036336.2	TNF_receptor_associated_factor_4	
Exapal_XM_021036337.1	structural_maintenance_of_chromosomes_4	SMC_N/SMC_hinge/
Exapal_XM_021036338.2	tenascin_R	Fibrinogen_C/
Exapal_XM_021036339.2		
Exapal_XM_021036341.1	potassium_voltage_gated_channel_subfamily_Q_member_5	KCNQ_channel/
Exapal_XM_021036342.2	YTH_N6_methyladenosine_RNA_binding_protein_3	YTH/
Exapal_XM_021036343.2		
Exapal_XM_021036344.2	cytochrome_P450_family_46_subfamily_A_member_1	p450/
Exapal_XM_021036345.1	origin_recognition_complex_subunit_5	AAA_16/ORC5_C/
Exapal_XM_021036346.2	RAS_like_estrogen_regulated_growth_inhibitor	Ras/
Exapal_XM_021036349.1	SGT1_homolog_MIS12_kinetochore_complex_assembly_cochaperone	CS/SGS/
Exapal_XM_021036351.2		NB-ARC/TPR_12/TPR_12/ZU5/
Exapal_XM_021036353.2		
Exapal_XM_021036356.2	beta_1_3_glucuronyltransferase_3	Glyco_transf_43/
Exapal_XM_021036357.2	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	I-set/Sushi/EGF_3/
Exapal_XM_021036358.2	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	Sushi/EGF_3/
Exapal_XM_021036361.2	family_with_sequence_similarity_8_member_A1	RDD/
Exapal_XM_021036362.2	ring_finger_protein_217	IBR/IBR/
Exapal_XM_021036363.1	flavin_containing_dimethylaniline_monoxygenase_2	FMO-like/
Exapal_XM_021036364.2	angiopoietin_like_7	EGF/Fibrinogen_C/
Exapal_XM_021036365.2	fibrinogen_like_2	Fibrinogen_C/
Exapal_XM_021036366.2	solute_carrier_family_6_member_20	SNF/SNF/
Exapal_XM_021036367.2	cytochrome_P450_family_46_subfamily_A_member_1	p450/
Exapal_XM_021036368.2	NSE2_MMS21_homolog_SMC5_SMC6_complex_SUMO_ligase	zf-Nse/
Exapal_XM_021036369.2		
Exapal_XM_021036370.2	copper_chaperone_for_superoxide_dismutase	HMA/Sod_Cu/
Exapal_XM_021036371.2	hydroxysteroid_17_beta_dehydrogenase_12	adh_short/
Exapal_XM_021036373.2	membrane_bound_O_acyltransferase_domain_containing_2	MBOAT/
Exapal_XM_021036374.1		Collagen/Collagen/
Exapal_XM_021036376.2		Kazal_2/
Exapal_XM_021036377.2		
Exapal_XM_021036379.2	general_transcription_factor_IIIC_subunit_2	
Exapal_XM_021036380.2	histamine_receptor_H2	7tm_1/
Exapal_XM_021036381.2		
Exapal_XM_021036382.2	adrenoceptor_beta_2	7tm_1/
Exapal_XM_021036383.1	mindbomb_E3_ubiquitin_protein_ligase_2	MIB_HERC2/ZZ/MIB_HERC2/SH3_15/SH3_15/Ank_2/Ank_2/Ank_3/Ank_5/
Exapal_XM_021036388.2		
Exapal_XM_021036390.2		
Exapal_XM_021036391.2		
Exapal_XM_021036393.2		RdRP/
Exapal_XM_021036396.2	coagulation_factor_IX	EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/
Exapal_XM_021036397.2	beta_1_3_glucuronyltransferase_3	Glyco_transf_43/
Exapal_XM_021036398.1	glycogenin_1	
Exapal_XM_021036404.2	3_oxoacyl_ACP_synthase_mitochondrial	ketoacyl-synt/Ketoacyl-synt_C/
Exapal_XM_021036406.1	membrane_bound_O_acyltransferase_domain_containing_2	MBOAT/
Exapal_XM_021036407.2		
Exapal_XM_021036408.2	thioredoxin_domain_containing_5	Thioredoxin/Thioredoxin/Thioredoxin/
Exapal_XM_021036409.1		RNase_T/
Exapal_XM_021036410.2	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	TLD/
Exapal_XM_021036413.2	galactose_3_O_sulfotransferase_2	Gal-3-0_sulfotr/
Exapal_XM_021036414.2	NFS1_cysteine_desulfurase	Aminotran_5/
Exapal_XM_021036415.2	dimethylglycine_dehydrogenase	DAO/FAO_M/GCV_T/GCV_T_C/
Exapal_XM_021036416.2	KxDL_motif_containing_1	KxDL/
Exapal_XM_021036417.2	EBP_cholestenol_delta_isomerase	EBP/
Exapal_XM_021036418.2	hemicentin_1	TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/
Exapal_XM_021036419.2	adhesion_G_protein_coupled_receptor_B2	TSP_1/CBM_14/TSP_1/
Exapal_XM_021036420.2		
Exapal_XM_021036421.2	fibronectin_type_III_and_ankyrin_repeat_domains_1	Ank_2/Ank_2/Ank_2/Ank_4/Ank_2/
Exapal_XM_021036423.1	proteasome_20S_subunit_alpha_1	Proteasome_A_N/Proteasome/
Exapal_XM_021036424.1		
Exapal_XM_021036425.2	FANCD2_and_FANCI_associated_nuclease_1	VRR_NUC/
Exapal_XM_021036426.2		
Exapal_XM_021036428.1	myogenesis_regulating_glycosidase_putative	Glyco_hydro_31/
Exapal_XM_021036430.2		
Exapal_XM_021036433.2		
Exapal_XM_021036434.2	coiled_coil_domain_containing_112	
Exapal_XM_021036435.2	cholinergic_receptor_nicotinic_alpha_9_subunit	Neur_chan_LBD/Neur_chan_memb/
Exapal_XM_021036437.2	leucine_rich_repeats_and_guanylate_kinase_domain_containing	LRR_9/Guanylate_kin/
Exapal_XM_021036438.2	jumping_translocation_breakpoint	JTB/
Exapal_XM_021036440.2	betaine_homocysteine_S_methyltransferase	S-methyl_trans/
Exapal_XM_021036442.2	G_patch_domain_containing_8	G-patch/
Exapal_XM_021036443.1	nephrocystin_1	
Exapal_XM_021036445.2		
Exapal_XM_021036446.2	cholinergic_receptor_nicotinic_alpha_9_subunit	Neur_chan_LBD/Neur_chan_memb/
Exapal_XM_021036448.2		
Exapal_XM_021036453.1	sodium_channel_epithelial_1_subunit_beta	ASC/
Exapal_XM_021036454.1	cholinergic_receptor_nicotinic_alpha_3_subunit	Neur_chan_LBD/Neur_chan_memb/Neur_chan_LBD/Neur_chan_memb/
Exapal_XM_021036457.2	cholinergic_receptor_nicotinic_alpha_3_subunit	Neur_chan_LBD/Neur_chan_LBD/Neur_chan_memb/
Exapal_XM_021036461.2	contactin_associated_protein_1	EGF_3/EGF_CA/EGF_CA/EGF_CA/
Exapal_XM_021036462.1	nephrocystin_1	SH3_1/
Exapal_XM_021036463.2	CST_telomere_replication_complex_component_1	7tm_1/CTC1/
Exapal_XM_021036464.2	neuromedin_U_receptor_2	7tm_1/
Exapal_XM_021036467.2	cannabinoid_receptor_1	7tm_1/
Exapal_XM_021036468.1	neuromedin_U_receptor_2	7tm_1/
Exapal_XM_021036469.2	melatonin_receptor_1B	7tm_1/
Exapal_XM_021036470.2	adenosine_A2a_receptor	7tm_1/7tm_1/
Exapal_XM_021036472.2	deleted_in_malignant_brain_tumors_1	SRCR/SRCR/SRCR/SRCR/SRCR/SRCR/I-set/I-set/I-set/I-set/
Exapal_XM_021036473.2		
Exapal_XM_021036474.2	threonyl_tRNA_synthetase_1	TGS/tRNA_SAD/tRNA-synt_2b/HGTP_anticodon/
Exapal_XM_021036475.2	trace_amine_associated_receptor_1	7tm_1/
Exapal_XM_021036476.2	adenosine_A1_receptor	7tm_1/
Exapal_XM_021036478.2		
Exapal_XM_021036479.2		Transposase_21/
Exapal_XM_021036480.1	chromosome_1_open_reading_frame_50	DUF2452/
Exapal_XM_021036481.1	DLG_associated_protein_2	GKAP/
Exapal_XM_021036483.2	serine_hydroxymethyltransferase_2	SHMT/
Exapal_XM_021036484.1		
Exapal_XM_021036485.1		
Exapal_XM_021036486.1		
Exapal_XM_021036492.1	folliculogenesis_specific_bHLH_transcription_factor	HLH/
Exapal_XM_021036493.2		HAD_2/
Exapal_XM_021036494.2		
Exapal_XM_021036495.2	neuropeptide_FF_receptor_2	7tm_1/
Exapal_XM_021036496.2	G_protein_coupled_receptor_19	7tm_1/
Exapal_XM_021036497.2	tachykinin_receptor_3	7tm_1/
Exapal_XM_021036498.2	PMS1_homolog_1_mismatch_repair_system_component	HATPase_c_3/DNA_mis_repair/
Exapal_XM_021036500.2	N_acetylated_alpha_linked_acidic_dipeptidase_like_1	PA/Peptidase_M28/TFR_dimer/
Exapal_XM_021036501.2	growth_factor_independent_1B_transcriptional_repressor	zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-met/zf-C2H2_6/zf-C2H2/zf-C2H2/
Exapal_XM_021036502.1	growth_factor_independent_1B_transcriptional_repressor	zf-C2H2/zf-C2H2/zf-C2H2/zf-met/
Exapal_XM_021036504.1	insulin_degrading_enzyme	Peptidase_M16/Peptidase_M16_C/Peptidase_M16_M/Peptidase_M16_M/Peptidase_M16_C/
Exapal_XM_021036507.2		HLH/
Exapal_XM_021036511.2	cadherin_EGF_LAG_seven_pass_G_type_receptor_1	7tm_2/
Exapal_XM_021036512.2		
Exapal_XM_021036513.2	neuronal_pentraxin_2	PAN_1/Pentaxin/
Exapal_XM_021036515.2	centrosomal_protein_83	
Exapal_XM_021036519.2	melanocortin_1_receptor	7tm_1/
Exapal_XM_021036522.2	twist_family_bHLH_transcription_factor_1	HLH/
Exapal_XM_021036523.2	scleraxis_bHLH_transcription_factor	HLH/
Exapal_XM_021036524.1	eukaryotic_translation_initiation_factor_3_subunit_A	PCI/
Exapal_XM_021036525.2	arylsulfatase_L	Sulfatase/Sulfatase_C/
Exapal_XM_021036526.2	solute_carrier_family_17_member_6	MFS_1/
Exapal_XM_021036527.2	SNF8_subunit_of_ESCRT_II	EAP30/
Exapal_XM_021036528.2	transmembrane_serine_protease_15	ShK/ShK/TSP_1/TSP_1/TSP_1/Trypsin/
Exapal_XM_021036529.1	heat_shock_protein_family_A_Hsp70_member_9	HSP70/
Exapal_XM_021036530.2	DEAD_box_helicase_41	DEAD/Helicase_C/
Exapal_XM_021036531.2	tetratricopeptide_repeat_domain_14	TPR_8/
Exapal_XM_021036532.2	glutamate_metabotropic_receptor_3	ANF_receptor/7tm_3/
Exapal_XM_021036534.1	myosin_light_chain_9	EF-hand_6/EF-hand_5/
Exapal_XM_021036535.2	stabilizer_of_axonemal_microtubules_1	
Exapal_XM_021036537.2	arsenite_methyltransferase	Methyltransf_31/
Exapal_XM_021036538.2	serine_protease_23	Trypsin/
Exapal_XM_021036539.2	cytosolic_thiouridylase_subunit_2	CTU2/
Exapal_XM_021036540.2	matrix_metallopeptidase_26	Peptidase_M10/
Exapal_XM_021036544.2	neogenin_1	EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/FXa_inhibition/EGF_CA/Sushi/Ig_3/Ig_3/fn3/fn3/
Exapal_XM_021036545.2	transmembrane_protein_with_EGF_like_and_two_follistatin_like_domains_1	Kazal_2/
Exapal_XM_021036546.2	OVCA2_serine_hydrolase_domain_containing	FSH1/
Exapal_XM_021036547.2	ectonucleoside_triphosphate_diphosphohydrolase_5_inactive	GDA1_CD39/
Exapal_XM_021036548.2	BMI1_proto_oncogene_polycomb_ring_finger	zf-C3HC4_2/
Exapal_XM_021036549.2	serine_incorporator_1	Serinc/
Exapal_XM_021036550.2	ER_membrane_protein_complex_subunit_3	EMC3_TMCO1/
Exapal_XM_021036552.2	DNA_fragmentation_factor_subunit_alpha	CIDE-N/DFF-C/
Exapal_XM_021036553.2	bactericidal_permeability_increasing_protein	LBP_BPI_CETP/LBP_BPI_CETP_C/
Exapal_XM_021036554.2	BMI1_proto_oncogene_polycomb_ring_finger	zf-C3HC4_2/
Exapal_XM_021036557.2	chimerin_1	SH2/C1_1/
Exapal_XM_021036558.2	serine_incorporator_1	Serinc/
Exapal_XM_021036559.2	nephronectin	cEGF/cEGF/FXa_inhibition/
Exapal_XM_021036560.2	CDK2_associated_cullin_domain_1	Cullin/
Exapal_XM_021036562.2	glutamate_ionotropic_receptor_NMDA_type_subunit_1	ANF_receptor/Lig_chan-Glu_bd/Lig_chan/
Exapal_XM_021036563.2	WD_repeat_domain_25	WD40/WD40/
Exapal_XM_021036565.2	dopamine_receptor_D1	7tm_1/
Exapal_XM_021036566.2	solute_carrier_family_17_member_7	MFS_1/
Exapal_XM_021036567.2	unc_51_like_autophagy_activating_kinase_1	Pkinase/
Exapal_XM_021036568.2	serine_threonine_kinase_26	Pkinase/
Exapal_XM_021036569.2	protein_O_linked_mannose_N_acetylglucosaminyltransferase_1_beta_1_2	ILEI/GNT-I/
Exapal_XM_021036570.2	ankyrin_repeat_and_zinc_finger_peptidyl_tRNA_hydrolase_1	bVLRF1/VATC/
Exapal_XM_021036571.2	endothelin_receptor_type_B	7tm_1/
Exapal_XM_021036572.2	PDLIM1_interacting_kinase_1_like	Pkinase/
Exapal_XM_021036573.2	SAP_domain_containing_ribonucleoprotein	SAP/Tho1_MOS11_C/Tho1_MOS11_C/
Exapal_XM_021036575.1		DDE_3/
Exapal_XM_021036576.1	vinculin	Vinculin/
Exapal_XM_021036577.2	vezatin_adherens_junctions_transmembrane_protein	Vezatin/
Exapal_XM_021036578.2	tetratricopeptide_repeat_domain_28	TPR_12/TPR_8/CHAT/
Exapal_XM_021036582.2	tachykinin_receptor_3	7tm_1/
Exapal_XM_021036584.2	mitochondrial_ribosomal_protein_L10	Ribosomal_L10/
Exapal_XM_021036585.2	NIMA_related_kinase_3	Pkinase/
Exapal_XM_021036586.2	growth_factor_independent_1B_transcriptional_repressor	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
Exapal_XM_021036587.1		
Exapal_XM_021036588.2	abhydrolase_domain_containing_12	Hydrolase_4/
Exapal_XM_021036589.2	atonal_bHLH_transcription_factor_1	HLH/
Exapal_XM_021036591.2	AKT_interacting_protein	UQ_con/
Exapal_XM_021036592.2	ribosomal_protein_L26	Ribosomal_L26/KOW/
Exapal_XM_021036593.1	Nanog_homeobox	Homeodomain/
Exapal_XM_021036596.2	adrenoceptor_alpha_1B	7tm_1/
Exapal_XM_021036597.2	pyridoxamine_5_phosphate_oxidase	Putative_PNPOx/
Exapal_XM_021036600.2	COMM_domain_containing_3	COMM_domain/
Exapal_XM_021036601.2	neuronal_differentiation_6	HLH/
Exapal_XM_021036603.2	transcription_factor_21	HLH/
Exapal_XM_021036604.2	adrenoceptor_alpha_1A	7tm_1/
Exapal_XM_021036606.2	TNF_receptor_associated_factor_6	zf-C3HC4_2/
Exapal_XM_021036607.2	TNF_receptor_associated_factor_6	zf-C3HC4_2/
Exapal_XM_021036609.2	acid_sensing_ion_channel_subunit_1	ASC/
Exapal_XM_021036610.1		
Exapal_XM_021036613.2	major_facilitator_superfamily_domain_containing_13A	MFS_2/
Exapal_XM_021036614.2	acid_sensing_ion_channel_subunit_1	ASC/ASC/
Exapal_XM_021036615.2	GLI_pathogenesis_related_2	CAP/
Exapal_XM_021036616.2	HEAT_repeat_containing_1	U3snoRNP10/BP28CT/
Exapal_XM_021036617.2	solute_carrier_family_35_member_A3	Nuc_sug_transp/
Exapal_XM_021036619.2		
Exapal_XM_021036620.2	pre_mRNA_processing_factor_38A	PRP38/
Exapal_XM_021036621.2	CXXC_motif_containing_zinc_binding_protein	DUF866/DUF866/
Exapal_XM_021036622.2		
Exapal_XM_021036623.2	EPH_receptor_A4	Ephrin_lbd/
Exapal_XM_021036628.2	thioredoxin_domain_containing_12	Thioredoxin_7/
Exapal_XM_021036629.2	potassium_voltage_gated_channel_subfamily_C_member_1	BTB_2/Ion_trans/
Exapal_XM_021036630.2		
Exapal_XM_021036633.2		Fibrinogen_C/
Exapal_XM_021036634.2	KIAA1109	FSA_C/FSA_C/
Exapal_XM_021036636.2		Mab-21/
Exapal_XM_021036638.1		7tm_1/
Exapal_XM_021036642.2	histamine_N_methyltransferase	
Exapal_XM_021036643.1	histamine_N_methyltransferase	
Exapal_XM_021036647.1	histamine_receptor_H2	7tm_1/
Exapal_XM_021036650.2	solute_carrier_family_35_member_C1	TPT/
Exapal_XM_021036651.2		
Exapal_XM_021036652.2	sulfotransferase_family_1C_member_3	Sulfotransfer_1/
Exapal_XM_021036653.2	sulfotransferase_family_1C_member_3	Sulfotransfer_1/
Exapal_XM_021036655.2	KIAA1109	
Exapal_XM_021036656.2		
Exapal_XM_021036657.2		
Exapal_XM_021036658.1		Peptidase_A17/
Exapal_XM_021036659.2	kinesin_family_member_16B	
Exapal_XM_021036661.2	programmed_cell_death_6_interacting_protein	BRO1/
Exapal_XM_021036662.2	ring_finger_protein_8	FHA/zf-C3HC4_2/
Exapal_XM_021036663.2	signal_recognition_particle_72	SRP_TPR_like/TPR_MalT/SRP72/
Exapal_XM_021036665.2	adrenoceptor_beta_2	7tm_1/
Exapal_XM_021036667.2		
Exapal_XM_021036668.2		Methyltransf_11/
Exapal_XM_021036669.2	cyclin_dependent_kinase_inhibitor_3	CDKN3/
Exapal_XM_021036670.2	chromosome_19_open_reading_frame_47	SAM_4/
Exapal_XM_021036671.2	minichromosome_maintenance_complex_component_2	MCM2_N/MCM_N/MCM_OB/MCM/MCM_lid/
Exapal_XM_021036672.2	discs_large_MAGUK_scaffold_protein_2	PDZ/
Exapal_XM_021036673.2	LIM_domain_binding_2	LIM_bind/LIM_bind/LID/
Exapal_XM_021036678.2		KDZ/
Exapal_XM_021036679.2	tetratricopeptide_repeat_domain_7B	TPR_16/TPR_8/TPR_8/
Exapal_XM_021036680.2	BCL2_interacting_protein_3	BNIP3/
Exapal_XM_021036681.2	Ras_protein_specific_guanine_nucleotide_releasing_factor_1	PH/
Exapal_XM_021036682.2	calmodulin_3	EF-hand_7/
Exapal_XM_021036683.2	WD_repeat_domain_54	WD40/
Exapal_XM_021036684.1	tyrosinase	Tyrosinase/
Exapal_XM_021036685.2	ring_finger_protein_4	zf-RING_2/
Exapal_XM_021036688.2	inositol_3_phosphate_synthase_1	NAD_binding_5/Inos-1-P_synth/
Exapal_XM_021036689.2	4_hydroxy_2_oxoglutarate_aldolase_1	DHDPS/
Exapal_XM_021036691.2	potassium_two_pore_domain_channel_subfamily_K_member_3	Ion_trans_2/Ion_trans_2/
Exapal_XM_021036692.2		MGAT2/
Exapal_XM_021036693.2	sideroflexin_2	SFXNs/
