cluster	cell_type	color	broad_cell_type	cluster_class	legacy_annotation_string
lc029	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc030	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc036	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc063	gastrodermis_alga_hosting	darkolivegreen3	gastrodermis	leiden	gastrodermis_alga_hosting(1.00)
lc027	digestive_filaments	pink3	epidermis	leiden	digestive_filaments(1.00)
lc007	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc013	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc017	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc021	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc025	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc012	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc038	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc044	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc052	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc055	epidermis	cadetblue2	epidermis	leiden	epidermis(1.00)
lc014	epidermis_like_1	cadetblue3	epidermis	leiden	epidermis_like_1(1.00)
lc042	epidermis_like_1	cadetblue3	epidermis	leiden	epidermis_like_1(1.00)
lc060	epidermis_like_1	cadetblue3	epidermis	leiden	epidermis_like_1(1.00)
lc026	epidermis_like_2	cadetblue4	epidermis	leiden	epidermis_like_2(1.00)
lc005	calicoblast	mediumpurple1	epidermis	leiden	calicoblast(1.00)
lc008	calicoblast	mediumpurple1	epidermis	leiden	calicoblast(1.00)
lc058	calicoblast	mediumpurple1	epidermis	leiden	calicoblast(1.00)
lc024	neurosecretory_progenitors	slategray3	neurosecretory	leiden	neurosecretory_progenitors(1.00)
lc009	neuron_Pou4	royalblue1	neurosecretory	leiden	neuron_Pou4(1.00)
lc016	neuron_Pou4	royalblue1	neurosecretory	leiden	neuron_Pou4(1.00)
lc019	neuron_Pou4	royalblue1	neurosecretory	leiden	neuron_Pou4(1.00)
lc020	neuron_Pou4	royalblue1	neurosecretory	leiden	neuron_Pou4(1.00)
lc040	neuron_Pou4_Otp	royalblue4	neurosecretory	leiden	neuron_Etv1_Isl_2(1.00)
lc046	neuron_Isl_1	steelblue1	neurosecretory	leiden	neuron_Etv1_Isl_1(1.00)
lc065	neuron_Isl_1	steelblue1	neurosecretory	leiden	neuron_Etv1_Isl_1(1.00)
lc031	neuron_Isl_2	steelblue2	neurosecretory	leiden	neuron_Atoh8(1.00)
lc047	neuron_Isl_2	steelblue2	neurosecretory	leiden	neuron_Atoh8(1.00)
lc061	gland_1_Xbp	sienna1	neurosecretory	leiden	gland_3(1.00)
lc028	gland_2	sienna2	neurosecretory	leiden	gland_1(1.00)
lc054	gland_3	sienna3	neurosecretory	leiden	gland_2(1.00)
lc053	gland_4	tan1	neurosecretory	leiden	gland_4(1.00)
lc064	gland_4	tan1	neurosecretory	leiden	gland_4(1.00)
lc059	gland_5	tan2	neurosecretory	leiden	gland_5(1.00)
lc048	gland_6	tan3	neurosecretory	leiden	gland_6(1.00)
lc039	cnidocyte	mediumorchid3	neurosecretory	leiden	cnidocyte(1.00)
lc032	immune_macrophage_like_1	plum1	immune	leiden	immune_macrophage_like_1(1.00)
lc043	immune_macrophage_like_1	plum1	immune	leiden	immune_macrophage_like_1(1.00)
lc049	immune_macrophage_like_2	plum2	immune	leiden	immune_macrophage_like_2(1.00)
lc062	immune_like	plum3	immune	leiden	immune_like(1.00)
lc022	germline_oocytes	khaki2	germline	leiden	germline_oocytes(1.00)
